From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Subcellular location [CC]	Gene Ontology (cellular component)
O00300	O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
O95750	O95750	reviewed	FGF19_HUMAN	Fibroblast growth factor 19 (FGF-19)	FGF19 UNQ334/PRO533	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P02778	P02778	reviewed	CXL10_HUMAN	C-X-C motif chemokine 10 (10 kDa interferon gamma-induced protein) (Gamma-IP10) (IP-10) (Small-inducible cytokine B10) [Cleaved into: CXCL10(1-73)]	CXCL10 INP10 SCYB10	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:21183794}.	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09238	P09238	reviewed	MMP10_HUMAN	Stromelysin-2 (SL-2) (EC 3.4.24.22) (Matrix metalloproteinase-10) (MMP-10) (Transin-2)	MMP10 STMY2	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}.	extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P09341	P09341	reviewed	GROA_HUMAN	Growth-regulated alpha protein (C-X-C motif chemokine 1) (GRO-alpha(1-73)) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP-3) [Cleaved into: GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73)]	CXCL1 GRO GRO1 GROA MGSA SCYB1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]
P09603	P09603	reviewed	CSF1_HUMAN	Macrophage colony-stimulating factor 1 (CSF-1) (M-CSF) (MCSF) (Lanimostim) [Cleaved into: Processed macrophage colony-stimulating factor 1]	CSF1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}; Single-pass type I membrane protein {ECO:0000269|PubMed:1531650, ECO:0000269|PubMed:3264877}.; SUBCELLULAR LOCATION: [Processed macrophage colony-stimulating factor 1]: Secreted, extracellular space.	CSF1-CSF1R complex [GO:1990682]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P13236	P13236	reviewed	CCL4_HUMAN	C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)]	CCL4 LAG1 MIP1B SCYA4	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]
P25942	P25942	reviewed	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)	CD40 TNFRSF5	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform I]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform II]: Secreted.	CD40 receptor complex [GO:0035631]; cell surface [GO:0009986]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]
P55773	P55773	reviewed	CCL23_HUMAN	C-C motif chemokine 23 (CK-beta-8) (CKB-8) (Macrophage inflammatory protein 3) (MIP-3) (Myeloid progenitor inhibitory factor 1) (MPIF-1) (Small-inducible cytokine A23) [Cleaved into: CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99)]	CCL23 MIP3 MPIF1 SCYA23	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q07325	Q07325	reviewed	CXCL9_HUMAN	C-X-C motif chemokine 9 (Gamma-interferon-induced monokine) (Monokine induced by interferon-gamma) (HuMIG) (MIG) (Small-inducible cytokine B9)	CXCL9 CMK MIG SCYB9	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q08334	Q08334	reviewed	I10R2_HUMAN	Interleukin-10 receptor subunit beta (IL-10 receptor subunit beta) (IL-10R subunit beta) (IL-10RB) (Cytokine receptor class-II member 4) (Cytokine receptor family 2 member 4) (CRF2-4) (Interleukin-10 receptor subunit 2) (IL-10R subunit 2) (IL-10R2) (CD antigen CDw210b)	IL10RB CRFB4 D21S58 D21S66	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	interleukin-28 receptor complex [GO:0032002]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q14116	Q14116	reviewed	IL18_HUMAN	Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma)	IL18 IGIF IL1F4	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:32272059}. Secreted {ECO:0000269|PubMed:23955712, ECO:0000269|PubMed:32272059, ECO:0000269|PubMed:33883744}. Note=The precursor is cytosolic (PubMed:33883744). In response to inflammasome-activating signals, cleaved and secreted (PubMed:33883744). Mature form is secreted and released in the extracellular milieu by passing through the gasdermin-D (GSDMD) pore (PubMed:33883744). In contrast, the precursor form is not released, due to the presence of an acidic region that is proteolytically removed by CASP1 during maturation (PubMed:33883744). The secretion is dependent on protein unfolding and facilitated by the cargo receptor TMED10 (PubMed:32272059). {ECO:0000269|PubMed:32272059, ECO:0000269|PubMed:33883744}.	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q8NFT8	Q8NFT8	reviewed	DNER_HUMAN	Delta and Notch-like epidermal growth factor-related receptor	DNER BET UNQ262/PRO299	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Note=Present on the membrane of dendrites and cell bodies but excluded from axonal membrane. Also found in early endosomes in the somatodendritic region (By similarity). {ECO:0000250}.	dendrite [GO:0030425]; early endosome [GO:0005769]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]
P22466	P22466	reviewed	GALA_HUMAN	Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide (GMAP)]	GAL GAL1 GALN GLNN	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:1370155, ECO:0000269|PubMed:1722333}.	extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; neuronal cell body [GO:0043025]; secretory granule [GO:0030141]
P46109	P46109	reviewed	CRKL_HUMAN	Crk-like protein	CRKL	Homo sapiens (Human)		cytosol [GO:0005829]; extrinsic component of postsynaptic membrane [GO:0098890]; neuromuscular junction [GO:0031594]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]
Q03403	Q03403	reviewed	TFF2_HUMAN	Trefoil factor 2 (Spasmolysin) (Spasmolytic polypeptide) (SP)	TFF2 SML1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular space [GO:0005615]
Q6UWV6	Q6UWV6	reviewed	ENPP7_HUMAN	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7 (E-NPP 7) (NPP-7) (EC 3.1.4.12) (Alkaline sphingomyelin phosphodiesterase) (Intestinal alkaline sphingomyelinase) (Alk-SMase)	ENPP7 UNQ3077/PRO9912	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12671034, ECO:0000269|PubMed:15205117}; Single-pass type I membrane protein {ECO:0000269|PubMed:12671034, ECO:0000269|PubMed:15205117}. Note=The catalytic domain is released into the extracellular medium when cells are treated with trypsin (PubMed:15205117). Localized at the surface of the microvillar membrane in small intestine enterocytes, and in endosome-like structures situated beneath the microvillar membrane, and in Golgi complex (PubMed:12671034, PubMed:12885774). {ECO:0000269|PubMed:12671034, ECO:0000269|PubMed:12885774, ECO:0000269|PubMed:15205117}.	Golgi apparatus [GO:0005794]; membrane [GO:0016020]; microvillus [GO:0005902]; plasma membrane [GO:0005886]
Q9BYZ8	Q9BYZ8	reviewed	REG4_HUMAN	Regenerating islet-derived protein 4 (REG-4) (Gastrointestinal secretory protein) (REG-like protein) (Regenerating islet-derived protein IV) (Reg IV)	REG4 GISP RELP	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12819006}.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]
Q9UHX3	Q9UHX3	reviewed	AGRE2_HUMAN	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	ADGRE2 EMR2	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22310662, ECO:0000269|PubMed:26841242}; Multi-pass membrane protein. Cell projection, ruffle membrane {ECO:0000269|PubMed:17928360}; Multi-pass membrane protein. Note=Localized at the leading edge of migrating cells. {ECO:0000269|PubMed:17928360}.	leading edge membrane [GO:0031256]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]
P53634	P53634	reviewed	CATC_HUMAN	Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]	CTSC CPPI	Homo sapiens (Human)	SUBCELLULAR LOCATION: Lysosome.	azurophil granule lumen [GO:0035578]; centrosome [GO:0005813]; collagen-containing extracellular matrix [GO:0062023]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
P55145	P55145	reviewed	MANF_HUMAN	Mesencephalic astrocyte-derived neurotrophic factor (Arginine-rich protein) (Protein ARMET)	MANF ARMET ARP	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12794311, ECO:0000269|PubMed:18561914, ECO:0000269|PubMed:22637475, ECO:0000269|PubMed:29497057}. Endoplasmic reticulum lumen {ECO:0000305|PubMed:29497057}. Sarcoplasmic reticulum lumen {ECO:0000269|PubMed:22637475}. Note=Retained in the endoplasmic reticulum (ER), and sarcoplasmic reticulum (SR) under normal conditions (PubMed:22637475). Up-regulated and secreted by the ER/SR in response to ER stress and hypoxia (PubMed:22637475, PubMed:29497057). {ECO:0000269|PubMed:22637475, ECO:0000269|PubMed:29497057}.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum lumen [GO:0033018]
Q9BZZ2	Q9BZZ2	reviewed	SN_HUMAN	Sialoadhesin (Sialic acid-binding Ig-like lectin 1) (Siglec-1) (CD antigen CD169)	SIGLEC1 SN	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.	early endosome [GO:0005769]; extracellular region [GO:0005576]; late endosome [GO:0005770]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q9H3U7	Q9H3U7	reviewed	SMOC2_HUMAN	SPARC-related modular calcium-binding protein 2 (Secreted modular calcium-binding protein 2) (SMOC-2) (Smooth muscle-associated protein 2) (SMAP-2)	SMOC2 SMAP2 MSTP117	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000250}.	basement membrane [GO:0005604]; cell periphery [GO:0071944]; extracellular space [GO:0005615]
O00468	O00468	reviewed	AGRIN_HUMAN	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:20551380}. Note=Synaptic basal lamina at the neuromuscular junction. {ECO:0000250|UniProtKB:P31696}.; SUBCELLULAR LOCATION: [Isoform 2]: Synapse {ECO:0000250|UniProtKB:A2ASQ1}. Cell membrane {ECO:0000250|UniProtKB:A2ASQ1}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:A2ASQ1}.	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]; plasma membrane [GO:0005886]; synapse [GO:0045202]
O43598	O43598	reviewed	DNPH1_HUMAN	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL)	DNPH1 C6orf108 RCL	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03036, ECO:0000269|PubMed:18726892}. Nucleus {ECO:0000255|HAMAP-Rule:MF_03036}.	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
O43639	O43639	reviewed	NCK2_HUMAN	Cytoplasmic protein NCK2 (Growth factor receptor-bound protein 4) (NCK adaptor protein 2) (Nck-2) (SH2/SH3 adaptor protein NCK-beta)	NCK2 GRB4	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16835242}. Endoplasmic reticulum {ECO:0000269|PubMed:16835242}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; postsynaptic density [GO:0014069]; vesicle membrane [GO:0012506]
O75462	O75462	reviewed	CRLF1_HUMAN	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	CRLF1 UNQ288/PRO327	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:9686600}.	CRLF-CLCF1 complex [GO:0097058]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; receptor complex [GO:0043235]
O75563	O75563	reviewed	SKAP2_HUMAN	Src kinase-associated phosphoprotein 2 (Pyk2/RAFTK-associated protein) (Retinoic acid-induced protein 70) (SKAP55 homolog) (SKAP-55HOM) (SKAP-HOM) (Src family-associated phosphoprotein 2) (Src kinase-associated phosphoprotein 55-related protein) (Src-associated adapter protein with PH and SH3 domains)	SKAP2 PRAP RA70 SAPS SCAP2 SKAP55R	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12893833}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
O76096	O76096	reviewed	CYTF_HUMAN	Cystatin-F (Cystatin-7) (Cystatin-like metastasis-associated protein) (CMAP) (Leukocystatin)	CST7	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12423348}. Cytoplasm {ECO:0000269|PubMed:12423348}.	cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; lysosome [GO:0005764]; multivesicular body [GO:0005771]
O95866	O95866	reviewed	G6B_HUMAN	Megakaryocyte and platelet inhibitory receptor G6b (Protein G6b)	MPIG6B C6orf25 G6B G6B-B	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform E]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform D]: Endoplasmic reticulum {ECO:0000269|PubMed:11544253}. Golgi apparatus {ECO:0000269|PubMed:11544253}.; SUBCELLULAR LOCATION: [Isoform B]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.; SUBCELLULAR LOCATION: [Isoform A]: Cell membrane {ECO:0000269|PubMed:11544253}; Single-pass type I membrane protein {ECO:0000305}.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]
P07148	P07148	reviewed	FABPL_HUMAN	Fatty acid-binding protein, liver (Fatty acid-binding protein 1) (Liver-type fatty acid-binding protein) (L-FABP)	FABP1 FABPL	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.	apical cortex [GO:0045179]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; peroxisomal matrix [GO:0005782]; protein-containing complex [GO:0032991]
P0DMV8	P0DMV8	reviewed	HS71A_HUMAN	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1)	HSPA1A HSP72 HSPA1 HSX70	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:27137183}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:27137183}. Secreted {ECO:0000250|UniProtKB:Q61696}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs.	aggresome [GO:0016235]; blood microparticle [GO:0072562]; centriole [GO:0005814]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; focal adhesion [GO:0005925]; inclusion body [GO:0016234]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]
P11684	P11684	reviewed	UTER_HUMAN	Uteroglobin (Club cell phospholipid-binding protein) (CCPBP) (Club cells 10 kDa secretory protein) (CC10) (Secretoglobin family 1A member 1) (Urinary protein 1) (UP-1) (UP1) (Urine protein 1)	SCGB1A1 CC10 CCSP UGB	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; nuclear envelope [GO:0005635]; rough endoplasmic reticulum [GO:0005791]; secretory granule [GO:0030141]
P12532	P12532	reviewed	KCRU_HUMAN	Creatine kinase U-type, mitochondrial (EC 2.7.3.2) (Acidic-type mitochondrial creatine kinase) (Mia-CK) (Ubiquitous mitochondrial creatine kinase) (U-MtCK)	CKMT1A CKMT; CKMT1B CKMT	Homo sapiens (Human)	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side.	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P19876	P19876	reviewed	CXCL3_HUMAN	C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]	CXCL3 GRO3 GROG SCYB3	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]
P21709	P21709	reviewed	EPHA1_HUMAN	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	EPHA1 EPH EPHT EPHT1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19118217}; Single-pass type I membrane protein {ECO:0000269|PubMed:19118217}.	neuron projection [GO:0043005]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P29279	P29279	reviewed	CCN2_HUMAN	CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor) (Hypertrophic chondrocyte-specific protein 24) (Insulin-like growth factor-binding protein 8) (IBP-8) (IGF-binding protein 8) (IGFBP-8)	CCN2 CTGF HCS24 IGFBP8	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P29268}. Secreted {ECO:0000250|UniProtKB:P29268}.	cell cortex [GO:0005938]; cis-Golgi network [GO:0005801]; cytosol [GO:0005829]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P30613	P30613	reviewed	KPYR_HUMAN	Pyruvate kinase PKLR (EC 2.7.1.40) (Pyruvate kinase 1) (Pyruvate kinase isozymes L/R) (R-type/L-type pyruvate kinase) (Red cell/liver pyruvate kinase)	PKLR PK1 PKL	Homo sapiens (Human)		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P34896	P34896	reviewed	GLYC_HUMAN	Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P35625	P35625	reviewed	TIMP3_HUMAN	Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3)	TIMP3	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.	basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; platelet dense granule lumen [GO:0031089]
P54317	P54317	reviewed	LIPR2_HUMAN	Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3)	PNLIPRP2 PLRP2	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18702514, ECO:0000269|PubMed:19824014}. Zymogen granule membrane {ECO:0000250|UniProtKB:P54318}; Peripheral membrane protein {ECO:0000250|UniProtKB:P54318}. Cell projection, neuron projection {ECO:0000250|UniProtKB:P54318}. Note=Localizes to neurite tips in neuronal cells. {ECO:0000250|UniProtKB:P54318}.	cytoplasmic vesicle [GO:0031410]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; neuron projection [GO:0043005]
Q13232	Q13232	reviewed	NDK3_HUMAN	Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)	NME3	Homo sapiens (Human)		cytosol [GO:0005829]
Q14210	Q14210	reviewed	LY6D_HUMAN	Lymphocyte antigen 6D (Ly-6D) (E48 antigen)	LY6D E48	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.	cell surface [GO:0009986]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]
Q5ZPR3	Q5ZPR3	reviewed	CD276_HUMAN	CD276 antigen (4Ig-B7-H3) (B7 homolog 3) (B7-H3) (Costimulatory molecule) (CD antigen CD276)	CD276 B7H3 PSEC0249 UNQ309/PRO352	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	external side of plasma membrane [GO:0009897]; membrane [GO:0016020]
Q7KYR7	Q7KYR7	reviewed	BT2A1_HUMAN	Butyrophilin subfamily 2 member A1	BTN2A1 BT2.1 BTF1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]
Q8WU39	Q8WU39	reviewed	MZB1_HUMAN	Marginal zone B- and B1-cell-specific protein (Mesenteric estrogen-dependent adipose 7) (MEDA-7) (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)	MZB1 MEDA7 PACAP HSPC190	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum lumen {ECO:0000269|PubMed:19805157}. Secreted {ECO:0000269|PubMed:21688198}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:11350957}. Note=Diffuse granular localization in the cytoplasm surrounding the nucleus (PubMed:11350957).	cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]
Q8WXD2	Q8WXD2	reviewed	SCG3_HUMAN	Secretogranin-3 (Secretogranin III) (SgIII)	SCG3 UNQ2502/PRO5990	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P47868}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:P47868}; Peripheral membrane protein {ECO:0000250}. Secreted {ECO:0000269|PubMed:12098761}. Note=Associated with the secretory granule membrane through direct binding to cholesterol-enriched lipid rafts. {ECO:0000250|UniProtKB:P47868}.	endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; secretory granule lumen [GO:0034774]; secretory granule membrane [GO:0030667]; transport vesicle membrane [GO:0030658]
Q92484	Q92484	reviewed	ASM3A_HUMAN	Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-)	SMPDL3A ASML3A	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:25288789}.	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]
