Entry	Reviewed	Entry Name	Gene Names	Organism	Length	Subcellular location [CC]	Topological domain	Transmembrane																																			Gene Ontology (cellular component)
P04406	reviewed	G3P_HUMAN	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12829261}. Nucleus {ECO:0000250|UniProtKB:P04797}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12829261}. Membrane {ECO:0000269|PubMed:12829261}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P04797}. Note=Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal (By similarity). Postnuclear and Perinuclear regions (PubMed:12829261). {ECO:0000250|UniProtKB:P04797, ECO:0000269|PubMed:12829261}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; GAIT complex [GO:0097452]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]
Q99988	reviewed	GDF15_HUMAN	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28572090, ECO:0000269|PubMed:29046435}.																																					cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]
O75223	reviewed	GGCT_HUMAN	GGCT C7orf24 CRF21	Homo sapiens (Human)	188																																						cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P16278	reviewed	BGAL_HUMAN	GLB1 ELNR1	Homo sapiens (Human)	677	SUBCELLULAR LOCATION: [Isoform 1]: Lysosome {ECO:0000269|PubMed:2511208, ECO:0000269|PubMed:3084261}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:2511208}. Note=Localized to the perinuclear area of the cytoplasm but not to lysosomes. {ECO:0000269|PubMed:2511208}.																																					azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; perinuclear region of cytoplasm [GO:0048471]; vacuole [GO:0005773]
A0A024RAM2	unreviewed	A0A024RAM2_HUMAN	GLRX hCG_36838	Homo sapiens (Human)	106																																						cytoplasm [GO:0005737]; nucleus [GO:0005634]
P06744	reviewed	G6PI_HUMAN	GPI	Homo sapiens (Human)	558	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11437381}. Secreted {ECO:0000269|PubMed:11437381}.																																					ciliary membrane [GO:0060170]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]
P08236	reviewed	BGLR_HUMAN	GUSB	Homo sapiens (Human)	651	SUBCELLULAR LOCATION: Lysosome.																																					azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]
Q16775	reviewed	GLO2_HUMAN	HAGH GLO2 HAGH1	Homo sapiens (Human)	308	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:15117945}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15117945}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q99075	reviewed	HBEGF_HUMAN	HBEGF DTR DTS HEGFL	Homo sapiens (Human)	208	SUBCELLULAR LOCATION: [Heparin-binding EGF-like growth factor]: Secreted, extracellular space. Note=Mature HB-EGF is released into the extracellular space and probably binds to a receptor.; SUBCELLULAR LOCATION: [Proheparin-binding EGF-like growth factor]: Cell membrane; Single-pass type I membrane protein.	"TOPO_DOM 20..160; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 185..208; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 161..184; /note=""Helical""; /evidence=""ECO:0000255"""																																			cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q9ULI3	reviewed	HEG1_HUMAN	HEG1 KIAA1237	Homo sapiens (Human)	1381	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	"TOPO_DOM 30..1248; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 1270..1381; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 1249..1269; /note=""Helical""; /evidence=""ECO:0000255"""																																			cell-cell junction [GO:0005911]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]
O75330	reviewed	HMMR_HUMAN	HMMR IHABP RHAMM	Homo sapiens (Human)	724	SUBCELLULAR LOCATION: Cell surface {ECO:0000250|UniProtKB:Q00547}. Cytoplasm {ECO:0000250|UniProtKB:Q00547}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q00547}.																																					cell surface [GO:0009986]; centrosome [GO:0005813]; cytosol [GO:0005829]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; spindle [GO:0005819]
A8K5I0	unreviewed	A8K5I0_HUMAN	HEL-S-103 HSPA1A HSPA1B hCG_1820593 hCG_43726	Homo sapiens (Human)	641																																						
P04792	reviewed	HSPB1_HUMAN	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10777697, ECO:0000269|PubMed:28144995}. Nucleus {ECO:0000269|PubMed:19464326}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:10777697}. Note=Cytoplasmic in interphase cells. Colocalizes with mitotic spindles in mitotic cells. Translocates to the nucleus during heat shock and resides in sub-nuclear structures known as SC35 speckles or nuclear splicing speckles. {ECO:0000269|PubMed:19464326}.																																					axon cytoplasm [GO:1904115]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]
P05362	reviewed	ICAM1_HUMAN	ICAM1	Homo sapiens (Human)	532	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	"TOPO_DOM 28..480; /note=""Extracellular""; /evidence=""ECO:0000255""; TOPO_DOM 504..532; /note=""Cytoplasmic""; /evidence=""ECO:0000255"""	"TRANSMEM 481..503; /note=""Helical""; /evidence=""ECO:0000255"""																																			cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q16270	reviewed	IBP7_HUMAN	IGFBP7 MAC25 PSF	Homo sapiens (Human)	282	SUBCELLULAR LOCATION: Secreted.																																					collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q92835	reviewed	SHIP1_HUMAN	INPP5D SHIP SHIP1	Homo sapiens (Human)	1189	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10822173}. Cell membrane {ECO:0000250|UniProtKB:Q9ES52}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9ES52}. Membrane raft {ECO:0000250|UniProtKB:Q9ES52}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9ES52}. Membrane {ECO:0000269|PubMed:10822173}; Peripheral membrane protein {ECO:0000269|PubMed:10822173}. Note=Translocates to the plasma membrane when activated, translocation is probably due to different mechanisms depending on the stimulus and cell type. Translocates from the cytoplasm to membrane ruffles in a FCGR3/CD16-dependent manner. Colocalizes with FC-gamma-RIIB receptor (FCGR2B) or FCGR3/CD16 at membrane ruffles. Tyrosine phosphorylation may also participate in membrane localization. {ECO:0000250|UniProtKB:Q9ES52}.																																					cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q9H910	reviewed	JUPI2_HUMAN	JPT2 C16orf34 HN1L L11	Homo sapiens (Human)	190	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15094197, ECO:0000269|PubMed:33758062}. Nucleus {ECO:0000269|PubMed:15094197}. Note=Colocalizes with type 1 ryanodine receptor (RYR1). {ECO:0000269|PubMed:33758062}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A024R632	unreviewed	A0A024R632_HUMAN	KIF22 hCG_2039829	Homo sapiens (Human)	597																																						cytosol [GO:0005829]; microtubule [GO:0005874]; nuclear speck [GO:0016607]
Q14739	reviewed	LBR_HUMAN	LBR	Homo sapiens (Human)	615	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:8157662}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21327084}. Cytoplasm {ECO:0000269|PubMed:21327084}. Nucleus {ECO:0000269|PubMed:21327084}. Note=Nucleus; nuclear rim. {ECO:0000269|PubMed:21327084}.	"TOPO_DOM 1..211; /note=""Nuclear""; /evidence=""ECO:0000255"""	"TRANSMEM 212..232; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 258..278; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 299..319; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 326..346; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 386..406; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 447..467; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 481..501; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 561..581; /note=""Helical""; /evidence=""ECO:0000255"""																																			cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]
B3KR97	unreviewed	B3KR97_HUMAN		Homo sapiens (Human)	308																																						
O00182	reviewed	LEG9_HUMAN	LGALS9	Homo sapiens (Human)	355	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23242525}. Nucleus {ECO:0000269|PubMed:23242525}. Secreted {ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:25578313}. Note=May also be secreted by a non-classical secretory pathway (By similarity). Secreted by mesenchymal stromal cells upon IFNG stimulation (PubMed:23817958). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:23817958}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24333696}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:24333696}.																																					collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]
P30533	reviewed	AMRP_HUMAN	LRPAP1 A2MRAP	Homo sapiens (Human)	357	SUBCELLULAR LOCATION: Rough endoplasmic reticulum lumen {ECO:0000269|PubMed:7774585}. Endoplasmic reticulum-Golgi intermediate compartment lumen {ECO:0000269|PubMed:7774585}. Golgi apparatus, cis-Golgi network {ECO:0000269|PubMed:7774585}. Golgi apparatus lumen {ECO:0000269|PubMed:7774585}. Endosome lumen {ECO:0000269|PubMed:7774585}. Cell surface {ECO:0000269|PubMed:11384978}. Note=May be associated with receptors at the cell surface. {ECO:0000269|PubMed:11384978}.																																					cell surface [GO:0009986]; cis-Golgi network [GO:0005801]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endosome [GO:0005768]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; rough endoplasmic reticulum lumen [GO:0048237]
Q9BS40	reviewed	LXN_HUMAN	LXN	Homo sapiens (Human)	222	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.																																					cytoplasm [GO:0005737]; extracellular space [GO:0005615]
A4QPA9	unreviewed	A4QPA9_HUMAN	MAP2K1 hCG_24510	Homo sapiens (Human)	393																																						cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A024R8K3	unreviewed	A0A024R8K3_HUMAN	MAP2K6 hCG_28772	Homo sapiens (Human)	278																																						
Q99683	reviewed	M3K5_HUMAN	MAP3K5 ASK1 MAPKKK5 MEKK5	Homo sapiens (Human)	1374	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26095851}. Endoplasmic reticulum. Note=Interaction with 14-3-3 proteins alters the distribution of MAP3K5/ASK1 and restricts it to the perinuclear endoplasmic reticulum region.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; IRE1-TRAF2-ASK1 complex [GO:1990604]; protein kinase complex [GO:1902911]; protein-containing complex [GO:0032991]
P45984	reviewed	MK09_HUMAN	MAPK9 JNK2 PRKM9 SAPK1A	Homo sapiens (Human)	424	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19675674}. Nucleus {ECO:0000269|PubMed:19675674}. Note=Colocalizes with POU5F1 in the nucleus. {ECO:0000250|UniProtKB:Q9WTU6}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]
P49137	reviewed	MAPK2_HUMAN	MAPKAPK2	Homo sapiens (Human)	400	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20932473}. Nucleus {ECO:0000269|PubMed:20932473}. Note=Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm.																																					centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8NI22	reviewed	MCFD2_HUMAN	MCFD2 SDNSF	Homo sapiens (Human)	146	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:12717434}. Endoplasmic reticulum {ECO:0000269|PubMed:12717434}. Golgi apparatus {ECO:0000269|PubMed:12717434}.																																					endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]
P21741	reviewed	MK_HUMAN	MDK MK1 NEGF2	Homo sapiens (Human)	143	SUBCELLULAR LOCATION: Secreted.																																					cell projection [GO:0042995]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]
B4DEE8	unreviewed	B4DEE8_HUMAN	MGMT	Homo sapiens (Human)	238																																						nucleoplasm [GO:0005654]
I4AY87	unreviewed	I4AY87_HUMAN	MIF	Homo sapiens (Human)	115																																						cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]
Q8N4C8	reviewed	MINK1_HUMAN	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	1332	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15469942, ECO:0000269|PubMed:18930710}. Postsynaptic density {ECO:0000250}. Cell projection, axon {ECO:0000250}. Cell projection, dendrite {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 4]: Golgi apparatus.																																					axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; postsynaptic density [GO:0014069]
P13995	reviewed	MTDC_HUMAN	MTHFD2 NMDMC	Homo sapiens (Human)	350	SUBCELLULAR LOCATION: Mitochondrion.																																					extracellular space [GO:0005615]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q08AG7	reviewed	MZT1_HUMAN	MZT1 C13orf37 MOZART1	Homo sapiens (Human)	82	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20360068}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:20360068}.																																					centrosome [GO:0005813]; cytosol [GO:0005829]; gamma-tubulin ring complex [GO:0000931]; interphase microtubule organizing center [GO:0031021]; spindle [GO:0005819]
A0A0C4DG07	unreviewed	A0A0C4DG07_HUMAN	NBN hCG_33061	Homo sapiens (Human)	672	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PIRNR:PIRNR011869}.																																					chromosome, telomeric region [GO:0000781]; Mre11 complex [GO:0030870]; nucleoplasm [GO:0005654]
B4DDI0	unreviewed	B4DDI0_HUMAN		Homo sapiens (Human)	388																																						plasma membrane [GO:0005886]
Q13287	reviewed	NMI_HUMAN	NMI	Homo sapiens (Human)	307	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10779520, ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:29377960, ECO:0000269|PubMed:9781816}. Nucleus {ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:9781816}. Secreted {ECO:0000269|PubMed:29038465}. Note=Cytoplasmic NMI localizes in punctate granular structures (PubMed:9781816, PubMed:10950963). Nuclear localization increased following IFN-alpha treatment (PubMed:9781816, PubMed:10950963). Extracelullar following secretion by macrophage (PubMed:29038465). {ECO:0000269|PubMed:10950963, ECO:0000269|PubMed:29038465, ECO:0000269|PubMed:9781816}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0A024R6C0	unreviewed	A0A024R6C0_HUMAN	NPC2 hCG_21712	Homo sapiens (Human)	151	SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.																																					extracellular region [GO:0005576]; lysosome [GO:0005764]
Q8TCD5	reviewed	NT5C_HUMAN	NT5C DNT1 UMPH2	Homo sapiens (Human)	201	SUBCELLULAR LOCATION: Cytoplasm.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
Q9NV35	reviewed	NUD15_HUMAN	NUDT15 MTH2	Homo sapiens (Human)	164																																						cytosol [GO:0005829]
Q9BTK6	reviewed	PAGR1_HUMAN	PAGR1 C16orf53 PA1	Homo sapiens (Human)	254	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19039327}.																																					histone methyltransferase complex [GO:0035097]; MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]
A0A024R3T8	unreviewed	A0A024R3T8_HUMAN	PARP1 hCG_14746	Homo sapiens (Human)	1014	SUBCELLULAR LOCATION: Chromosome {ECO:0000256|PIRNR:PIRNR000489}. Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PIRNR:PIRNR000489}.																																					chromosome [GO:0005694]; cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]
P01127	reviewed	PDGFB_HUMAN	PDGFB PDGF2 SIS	Homo sapiens (Human)	241	SUBCELLULAR LOCATION: Secreted. Note=Released by platelets upon wounding.																																					basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; endoplasmic reticulum lumen [GO:0005788]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; Golgi membrane [GO:0000139]; platelet alpha granule lumen [GO:0031093]; platelet-derived growth factor complex [GO:1990265]
D9IAI1	unreviewed	D9IAI1_HUMAN	PEBP1 HEL-S-34 hCG_2016249	Homo sapiens (Human)	187																																						
B4E2U0	unreviewed	B4E2U0_HUMAN		Homo sapiens (Human)	461																																						
P06401	reviewed	PRGR_HUMAN	PGR NR3C3	Homo sapiens (Human)	933	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Nucleoplasmic shuttling is both hormone- and cell cycle-dependent. On hormone stimulation, retained in the cytoplasm in the G(1) and G(2)/M phases.; SUBCELLULAR LOCATION: [Isoform A]: Nucleus. Cytoplasm. Note=Mainly nuclear.; SUBCELLULAR LOCATION: [Isoform 4]: Mitochondrion outer membrane {ECO:0000269|PubMed:23518922}.																																					chromatin [GO:0000785]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; nucleoplasm [GO:0005654]
Q8NCC3	reviewed	PAG15_HUMAN	PLA2G15 LYPLA3 UNQ341/PRO540	Homo sapiens (Human)	412	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:23958596}. Secreted {ECO:0000269|PubMed:10092508, ECO:0000269|PubMed:20410020}. Membrane {ECO:0000269|PubMed:25727495}; Peripheral membrane protein {ECO:0000269|PubMed:25727495}.																																					extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intracellular membrane-bounded organelle [GO:0043231]; lysosome [GO:0005764]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
P00750	reviewed	TPA_HUMAN	PLAT	Homo sapiens (Human)	562	SUBCELLULAR LOCATION: Secreted, extracellular space.																																					apical part of cell [GO:0045177]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; glutamatergic synapse [GO:0098978]; neuronal dense core vesicle [GO:0098992]; perisynaptic space [GO:0099544]; postsynapse [GO:0098794]; Schaffer collateral - CA1 synapse [GO:0098685]; serine protease inhibitor complex [GO:0097180]
Q53GL0	reviewed	PKHO1_HUMAN	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	409	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10799509, ECO:0000269|PubMed:11827170, ECO:0000269|PubMed:14729969, ECO:0000269|PubMed:15254037, ECO:0000269|PubMed:16325375}; Peripheral membrane protein {ECO:0000305|PubMed:14729969}. Nucleus {ECO:0000269|PubMed:10799509, ECO:0000269|PubMed:11827170, ECO:0000269|PubMed:15706351}. Cytoplasm {ECO:0000269|PubMed:15706351}. Note=Predominantly localized to the plasma membrane through the binding to phosphatidylinositol 3-phosphate (PubMed:14729969). In C2C12 cells, with the absence of growth factor, it is found in the nucleus (PubMed:14729969). It rapidly translocates to the plasma membrane after insulin stimulation (PubMed:14729969). In response to TNF, it translocates from the plasma membrane to the cytoplasm and then to the nucleus accompanied by cleavage by caspase-3 (PubMed:15706351). However, the subcellular location is highly dependent of the cell type, and this explains why it is found exclusively at the plasma membrane, in some type of cells (Probable). {ECO:0000269|PubMed:14729969, ECO:0000269|PubMed:15706351, ECO:0000305}.																																					cytoplasm [GO:0005737]; muscle cell projection membrane [GO:0036195]; nucleus [GO:0005634]; ruffle membrane [GO:0032587]
Q8TCS8	reviewed	PNPT1_HUMAN	PNPT1 PNPASE	Homo sapiens (Human)	783	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16055741}. Mitochondrion matrix {ECO:0000269|PubMed:12798676, ECO:0000269|PubMed:16055741}. Mitochondrion intermembrane space {ECO:0000269|PubMed:16966381}; Peripheral membrane protein {ECO:0000269|PubMed:16966381}.																																					cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; mitochondrial degradosome [GO:0045025]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; polysomal ribosome [GO:0042788]
P36873	reviewed	PP1G_HUMAN	PPP1CC	Homo sapiens (Human)	323	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11739654}. Nucleus. Nucleus, nucleolus {ECO:0000269|PubMed:11739654, ECO:0000269|PubMed:20926688, ECO:0000269|PubMed:23789093}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11739654}. Nucleus speckle {ECO:0000269|PubMed:11739654}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:12529430}. Cleavage furrow {ECO:0000269|PubMed:12529430}. Midbody {ECO:0000269|PubMed:12529430}. Mitochondrion {ECO:0000269|PubMed:17936702}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000269|PubMed:23789093}. Note=Colocalizes with SPZ1 in the nucleus (By similarity). Colocalizes with URI1 at mitochondrion (PubMed:17936702). Rapidly exchanges between the nucleolar, nucleoplasmic and cytoplasmic compartments (PubMed:11739654). Highly mobile in cells and can be relocalized through interaction with targeting subunits (PubMed:17965019). In the presence of PPP1R8 relocalizes from the nucleolus to nuclear speckles (PubMed:11739654). Shows a dynamic targeting to specific sites throughout the cell cycle (PubMed:12529430). Highly concentrated in nucleoli of interphase cells and localizes at kinetochores early in mitosis (PubMed:12529430). Relocalization to chromosome-containing regions occurs at the transition from early to late anaphase (PubMed:12529430). Also accumulates at the cleavage furrow and midbody by telophase (PubMed:12529430). Colocalizes with DYNLT4 in the microtubule organizing center (MTOC)(PubMed:23789093). {ECO:0000250|UniProtKB:P63087, ECO:0000269|PubMed:11739654, ECO:0000269|PubMed:12529430, ECO:0000269|PubMed:17936702, ECO:0000269|PubMed:17965019, ECO:0000269|PubMed:23789093}.																																					cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; kinetochore [GO:0000776]; midbody [GO:0030496]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleus [GO:0005634]; presynapse [GO:0098793]; protein phosphatase type 1 complex [GO:0000164]; protein-containing complex [GO:0032991]; PTW/PP1 phosphatase complex [GO:0072357]
Q96A00	reviewed	PP14A_HUMAN	PPP1R14A CPI17 PPP1INL	Homo sapiens (Human)	147	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.																																					cytosol [GO:0005829]
Q9NRG1	reviewed	PRDC1_HUMAN	PRTFDC1 HHGP	Homo sapiens (Human)	225																																						cytosol [GO:0005829]
Q06323	reviewed	PSME1_HUMAN	PSME1 IFI5111	Homo sapiens (Human)	249																																						cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; proteasome activator complex [GO:0008537]; proteasome complex [GO:0000502]
