From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (cellular component)
P39748	P39748	reviewed	FEN1_HUMAN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)	FEN1 RAD2	Homo sapiens (Human)	380	SUBCELLULAR LOCATION: [Isoform 1]: Nucleus, nucleolus. Nucleus, nucleoplasm. Note=Resides mostly in the nucleoli and relocalizes to the nucleoplasm upon DNA damage.; SUBCELLULAR LOCATION: [Isoform FENMIT]: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03140, ECO:0000269|PubMed:23675412}.	chromosome, telomeric region [GO:0000781]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9Y3D6	Q9Y3D6	reviewed	FIS1_HUMAN	Mitochondrial fission 1 protein (FIS1 homolog) (hFis1) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11)	FIS1 TTC11 CGI-135	Homo sapiens (Human)	152	SUBCELLULAR LOCATION: Mitochondrion outer membrane; Single-pass membrane protein. Peroxisome membrane; Single-pass membrane protein.	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]; protein-containing complex [GO:0032991]
Q13451	Q13451	reviewed	FKBP5_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein) (51 kDa FKBP) (FKBP-51) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5) (FKBP-5) (FKBP54) (p54) (HSP90-binding immunophilin) (Rotamase)	FKBP5 AIG6 FKBP51	Homo sapiens (Human)	457	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q64378}. Nucleus {ECO:0000250|UniProtKB:Q64378}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]
B7ZLE5	B7ZLE5	unreviewed	B7ZLE5_HUMAN	Fibronectin	FN1	Homo sapiens (Human)	2240		extracellular region [GO:0005576]
Q12778	Q12778	reviewed	FOXO1_HUMAN	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A	Homo sapiens (Human)	655	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11237865, ECO:0000269|PubMed:11311120, ECO:0000269|PubMed:12228231, ECO:0000269|PubMed:19221179, ECO:0000269|PubMed:20543840, ECO:0000269|PubMed:21245099, ECO:0000269|PubMed:25009184, ECO:0000269|PubMed:31063815}. Nucleus {ECO:0000269|PubMed:11311120, ECO:0000269|PubMed:12228231, ECO:0000269|PubMed:20543840, ECO:0000269|PubMed:25009184, ECO:0000269|PubMed:31063815}. Note=Shuttles between the cytoplasm and nucleus. Largely nuclear in unstimulated cells (PubMed:11311120, PubMed:12228231, PubMed:19221179, PubMed:21245099, PubMed:20543840, PubMed:25009184). In osteoblasts, colocalizes with ATF4 and RUNX2 in the nucleus (By similarity). Serum deprivation increases localization to the nucleus, leading to activate expression of SOX9 and subsequent chondrogenesis (By similarity). Insulin-induced phosphorylation at Ser-256 by PKB/AKT1 leads, via stimulation of Thr-24 phosphorylation, to binding of 14-3-3 proteins and nuclear export to the cytoplasm where it is degraded by the ubiquitin-proteosomal pathway (PubMed:11237865, PubMed:12228231). Phosphorylation at Ser-249 by CDK1 disrupts binding of 14-3-3 proteins and promotes nuclear accumulation (PubMed:18356527). Phosphorylation by NLK results in nuclear export (By similarity). Translocates to the nucleus upon oxidative stress-induced phosphorylation at Ser-212 by STK4/MST1 (PubMed:19221179, PubMed:21245099). SGK1-mediated phosphorylation also results in nuclear translocation (By similarity). Retained in the nucleus under stress stimuli including oxidative stress, nutrient deprivation or nitric oxide (By similarity). Retained in the nucleus on methylation (By similarity). PPIA/CYPA stimulates its nuclear accumulation (PubMed:31063815). Deacetylation by SIRT6, promotes its translocation into the cytoplasm (PubMed:25009184). {ECO:0000250|UniProtKB:Q9R1E0, ECO:0000269|PubMed:11237865, ECO:0000269|PubMed:11311120, ECO:0000269|PubMed:12228231, ECO:0000269|PubMed:18356527, ECO:0000269|PubMed:19221179, ECO:0000269|PubMed:20543840, ECO:0000269|PubMed:21245099, ECO:0000269|PubMed:25009184, ECO:0000269|PubMed:31063815}.	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P35637	P35637	reviewed	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)	526	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19251627, ECO:0000269|PubMed:19251628, ECO:0000269|PubMed:24204307, ECO:0000269|PubMed:25453086, ECO:0000269|PubMed:30354839}. Note=Displays a punctate pattern inside the nucleus and is excluded from nucleoli. {ECO:0000269|PubMed:25453086}.	cytoplasm [GO:0005737]; intracellular non-membrane-bounded organelle [GO:0043232]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P04406	P04406	reviewed	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:12829261}. Nucleus {ECO:0000250|UniProtKB:P04797}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:12829261}. Membrane {ECO:0000269|PubMed:12829261}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P04797}. Note=Translocates to the nucleus following S-nitrosylation and interaction with SIAH1, which contains a nuclear localization signal (By similarity). Postnuclear and Perinuclear regions (PubMed:12829261). {ECO:0000250|UniProtKB:P04797, ECO:0000269|PubMed:12829261}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; GAIT complex [GO:0097452]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; vesicle [GO:0031982]
Q99988	Q99988	reviewed	GDF15_HUMAN	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	GDF15 MIC1 PDF PLAB PTGFB	Homo sapiens (Human)	308	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:28572090, ECO:0000269|PubMed:29046435}.	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; nucleus [GO:0005634]
O75223	O75223	reviewed	GGCT_HUMAN	Gamma-glutamylcyclotransferase (EC 4.3.2.9) (Cytochrome c-releasing factor 21)	GGCT C7orf24 CRF21	Homo sapiens (Human)	188		cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P16278	P16278	reviewed	BGAL_HUMAN	Beta-galactosidase (EC 3.2.1.23) (Acid beta-galactosidase) (Lactase) (Elastin receptor 1)	GLB1 ELNR1	Homo sapiens (Human)	677	SUBCELLULAR LOCATION: [Isoform 1]: Lysosome {ECO:0000269|PubMed:2511208, ECO:0000269|PubMed:3084261}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:2511208}. Note=Localized to the perinuclear area of the cytoplasm but not to lysosomes. {ECO:0000269|PubMed:2511208}.	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; perinuclear region of cytoplasm [GO:0048471]; vacuole [GO:0005773]
A0A024RAM2	A0A024RAM2	unreviewed	A0A024RAM2_HUMAN	Glutaredoxin (Thioltransferase), isoform CRA_c	GLRX hCG_36838	Homo sapiens (Human)	106		cytoplasm [GO:0005737]; nucleus [GO:0005634]
P06744	P06744	reviewed	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)	GPI	Homo sapiens (Human)	558	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11437381}. Secreted {ECO:0000269|PubMed:11437381}.	ciliary membrane [GO:0060170]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; membrane [GO:0016020]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]
P08236	P08236	reviewed	BGLR_HUMAN	Beta-glucuronidase (EC 3.2.1.31) (Beta-G1)	GUSB	Homo sapiens (Human)	651	SUBCELLULAR LOCATION: Lysosome.	azurophil granule lumen [GO:0035578]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; membrane [GO:0016020]
Q16775	Q16775	reviewed	GLO2_HUMAN	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	HAGH GLO2 HAGH1	Homo sapiens (Human)	308	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion matrix {ECO:0000269|PubMed:15117945}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:15117945}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q99075	Q99075	reviewed	HBEGF_HUMAN	Proheparin-binding EGF-like growth factor [Cleaved into: Heparin-binding EGF-like growth factor (HB-EGF) (HBEGF) (Diphtheria toxin receptor) (DT-R)]	HBEGF DTR DTS HEGFL	Homo sapiens (Human)	208	SUBCELLULAR LOCATION: [Heparin-binding EGF-like growth factor]: Secreted, extracellular space. Note=Mature HB-EGF is released into the extracellular space and probably binds to a receptor.; SUBCELLULAR LOCATION: [Proheparin-binding EGF-like growth factor]: Cell membrane; Single-pass type I membrane protein.	cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q9ULI3	Q9ULI3	reviewed	HEG1_HUMAN	Protein HEG homolog 1	HEG1 KIAA1237	Homo sapiens (Human)	1381	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell junction {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.	cell-cell junction [GO:0005911]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]
O75330	O75330	reviewed	HMMR_HUMAN	Hyaluronan mediated motility receptor (Intracellular hyaluronic acid-binding protein) (Receptor for hyaluronan-mediated motility) (CD antigen CD168)	HMMR IHABP RHAMM	Homo sapiens (Human)	724	SUBCELLULAR LOCATION: Cell surface {ECO:0000250|UniProtKB:Q00547}. Cytoplasm {ECO:0000250|UniProtKB:Q00547}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q00547}.	cell surface [GO:0009986]; centrosome [GO:0005813]; cytosol [GO:0005829]; membrane [GO:0016020]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; spindle [GO:0005819]
A8K5I0	A8K5I0	unreviewed	A8K5I0_HUMAN	Epididymis secretory protein Li 103 (Epididymis secretory sperm binding protein) (HSPA1A) (HSPA1B) (Heat shock 70kDa protein 1A) (Heat shock 70kDa protein 1B) (cDNA FLJ75127, highly similar to Homo sapiens heat shock 70kDa protein 1A, mRNA)	HEL-S-103 HSPA1A HSPA1B hCG_1820593 hCG_43726	Homo sapiens (Human)	641		
P04792	P04792	reviewed	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10777697, ECO:0000269|PubMed:28144995}. Nucleus {ECO:0000269|PubMed:19464326}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:10777697}. Note=Cytoplasmic in interphase cells. Colocalizes with mitotic spindles in mitotic cells. Translocates to the nucleus during heat shock and resides in sub-nuclear structures known as SC35 speckles or nuclear splicing speckles. {ECO:0000269|PubMed:19464326}.	axon cytoplasm [GO:1904115]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]
P05362	P05362	reviewed	ICAM1_HUMAN	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q16270	Q16270	reviewed	IBP7_HUMAN	Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (IGFBP-rP1) (MAC25 protein) (PGI2-stimulating factor) (Prostacyclin-stimulating factor) (Tumor-derived adhesion factor) (TAF)	IGFBP7 MAC25 PSF	Homo sapiens (Human)	282	SUBCELLULAR LOCATION: Secreted.	collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q92835	Q92835	reviewed	SHIP1_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase D) (EC 3.1.3.56) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)	INPP5D SHIP SHIP1	Homo sapiens (Human)	1189	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10822173}. Cell membrane {ECO:0000250|UniProtKB:Q9ES52}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9ES52}. Membrane raft {ECO:0000250|UniProtKB:Q9ES52}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9ES52}. Membrane {ECO:0000269|PubMed:10822173}; Peripheral membrane protein {ECO:0000269|PubMed:10822173}. Note=Translocates to the plasma membrane when activated, translocation is probably due to different mechanisms depending on the stimulus and cell type. Translocates from the cytoplasm to membrane ruffles in a FCGR3/CD16-dependent manner. Colocalizes with FC-gamma-RIIB receptor (FCGR2B) or FCGR3/CD16 at membrane ruffles. Tyrosine phosphorylation may also participate in membrane localization. {ECO:0000250|UniProtKB:Q9ES52}.	cytoskeleton [GO:0005856]; cytosol [GO:0005829]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]
Q9H910	Q9H910	reviewed	JUPI2_HUMAN	Jupiter microtubule associated homolog 2 (Hematological and neurological expressed 1-like protein) (HN1-like protein)	JPT2 C16orf34 HN1L L11	Homo sapiens (Human)	190	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15094197, ECO:0000269|PubMed:33758062}. Nucleus {ECO:0000269|PubMed:15094197}. Note=Colocalizes with type 1 ryanodine receptor (RYR1). {ECO:0000269|PubMed:33758062}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
A0A024R632	A0A024R632	unreviewed	A0A024R632_HUMAN	Kinesin-like protein	KIF22 hCG_2039829	Homo sapiens (Human)	597		cytosol [GO:0005829]; microtubule [GO:0005874]; nuclear speck [GO:0016607]
Q14739	Q14739	reviewed	LBR_HUMAN	Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (LMN2R) (Lamin-B receptor) (Sterol C14-reductase)	LBR	Homo sapiens (Human)	615	SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:8157662}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:21327084}. Cytoplasm {ECO:0000269|PubMed:21327084}. Nucleus {ECO:0000269|PubMed:21327084}. Note=Nucleus; nuclear rim. {ECO:0000269|PubMed:21327084}.	cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; nuclear inner membrane [GO:0005637]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]
B3KR97	B3KR97	unreviewed	B3KR97_HUMAN	cDNA FLJ33900 fis, clone CTONG2008262, highly similar to Low density lipoprotein receptor adapter protein 1		Homo sapiens (Human)	308		
O00182	O00182	reviewed	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	LGALS9	Homo sapiens (Human)	355	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23242525}. Nucleus {ECO:0000269|PubMed:23242525}. Secreted {ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:25578313}. Note=May also be secreted by a non-classical secretory pathway (By similarity). Secreted by mesenchymal stromal cells upon IFNG stimulation (PubMed:23817958). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:23817958}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000269|PubMed:24333696}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:24333696}.	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleus [GO:0005634]
P30533	P30533	reviewed	AMRP_HUMAN	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	LRPAP1 A2MRAP	Homo sapiens (Human)	357	SUBCELLULAR LOCATION: Rough endoplasmic reticulum lumen {ECO:0000269|PubMed:7774585}. Endoplasmic reticulum-Golgi intermediate compartment lumen {ECO:0000269|PubMed:7774585}. Golgi apparatus, cis-Golgi network {ECO:0000269|PubMed:7774585}. Golgi apparatus lumen {ECO:0000269|PubMed:7774585}. Endosome lumen {ECO:0000269|PubMed:7774585}. Cell surface {ECO:0000269|PubMed:11384978}. Note=May be associated with receptors at the cell surface. {ECO:0000269|PubMed:11384978}.	cell surface [GO:0009986]; cis-Golgi network [GO:0005801]; endomembrane system [GO:0012505]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endosome [GO:0005768]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]; rough endoplasmic reticulum lumen [GO:0048237]
Q9BS40	Q9BS40	reviewed	LXN_HUMAN	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)	LXN	Homo sapiens (Human)	222	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	cytoplasm [GO:0005737]; extracellular space [GO:0005615]
A4QPA9	A4QPA9	unreviewed	A4QPA9_HUMAN	Mitogen-activated protein kinase kinase 1 (Mitogen-activated protein kinase kinase 1, isoform CRA_a) (cDNA FLJ76051, highly similar to Homo sapiens mitogen-activated protein kinase kinase 1 (MAP2K1), mRNA)	MAP2K1 hCG_24510	Homo sapiens (Human)	393		cytosol [GO:0005829]; plasma membrane [GO:0005886]
A0A024R8K3	A0A024R8K3	unreviewed	A0A024R8K3_HUMAN	Mitogen-activated protein kinase kinase 6, isoform CRA_a	MAP2K6 hCG_28772	Homo sapiens (Human)	278		
Q99683	Q99683	reviewed	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	MAP3K5 ASK1 MAPKKK5 MEKK5	Homo sapiens (Human)	1374	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26095851}. Endoplasmic reticulum. Note=Interaction with 14-3-3 proteins alters the distribution of MAP3K5/ASK1 and restricts it to the perinuclear endoplasmic reticulum region.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; IRE1-TRAF2-ASK1 complex [GO:1990604]; protein kinase complex [GO:1902911]; protein-containing complex [GO:0032991]
P45984	P45984	reviewed	MK09_HUMAN	Mitogen-activated protein kinase 9 (MAP kinase 9) (MAPK 9) (EC 2.7.11.24) (JNK-55) (Stress-activated protein kinase 1a) (SAPK1a) (Stress-activated protein kinase JNK2) (c-Jun N-terminal kinase 2)	MAPK9 JNK2 PRKM9 SAPK1A	Homo sapiens (Human)	424	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19675674}. Nucleus {ECO:0000269|PubMed:19675674}. Note=Colocalizes with POU5F1 in the nucleus. {ECO:0000250|UniProtKB:Q9WTU6}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]
P49137	P49137	reviewed	MAPK2_HUMAN	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	Homo sapiens (Human)	400	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20932473}. Nucleus {ECO:0000269|PubMed:20932473}. Note=Phosphorylation and subsequent activation releases the autoinhibitory helix, resulting in the export from the nucleus into the cytoplasm.	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8NI22	Q8NI22	reviewed	MCFD2_HUMAN	Multiple coagulation factor deficiency protein 2 (Neural stem cell-derived neuronal survival protein)	MCFD2 SDNSF	Homo sapiens (Human)	146	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment {ECO:0000269|PubMed:12717434}. Endoplasmic reticulum {ECO:0000269|PubMed:12717434}. Golgi apparatus {ECO:0000269|PubMed:12717434}.	endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]
P21741	P21741	reviewed	MK_HUMAN	Midkine (MK) (Amphiregulin-associated protein) (ARAP) (Midgestation and kidney protein) (Neurite outgrowth-promoting factor 2) (Neurite outgrowth-promoting protein)	MDK MK1 NEGF2	Homo sapiens (Human)	143	SUBCELLULAR LOCATION: Secreted.	cell projection [GO:0042995]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]
B4DEE8	B4DEE8	unreviewed	B4DEE8_HUMAN	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase)	MGMT	Homo sapiens (Human)	238		nucleoplasm [GO:0005654]
I4AY87	I4AY87	unreviewed	I4AY87_HUMAN	Epididymis secretory sperm binding protein (Macrophage migration inhibitory factor)	MIF	Homo sapiens (Human)	115		cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]
Q8N4C8	Q8N4C8	reviewed	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	1332	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15469942, ECO:0000269|PubMed:18930710}. Postsynaptic density {ECO:0000250}. Cell projection, axon {ECO:0000250}. Cell projection, dendrite {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 4]: Golgi apparatus.	axon [GO:0030424]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; postsynaptic density [GO:0014069]
P13995	P13995	reviewed	MTDC_HUMAN	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	MTHFD2 NMDMC	Homo sapiens (Human)	350	SUBCELLULAR LOCATION: Mitochondrion.	extracellular space [GO:0005615]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q08AG7	Q08AG7	reviewed	MZT1_HUMAN	Mitotic-spindle organizing protein 1 (Mitotic-spindle organizing protein associated with a ring of gamma-tubulin 1)	MZT1 C13orf37 MOZART1	Homo sapiens (Human)	82	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:20360068}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:20360068}.	centrosome [GO:0005813]; cytosol [GO:0005829]; gamma-tubulin ring complex [GO:0000931]; interphase microtubule organizing center [GO:0031021]; spindle [GO:0005819]
A0A0C4DG07	A0A0C4DG07	unreviewed	A0A0C4DG07_HUMAN	Nibrin	NBN hCG_33061	Homo sapiens (Human)	672	SUBCELLULAR LOCATION: Nucleus {ECO:0000256|ARBA:ARBA00004123, ECO:0000256|PIRNR:PIRNR011869}.	chromosome, telomeric region [GO:0000781]; Mre11 complex [GO:0030870]; nucleoplasm [GO:0005654]
