feat1,type_1
SLC5A11,txn
FCER1G,txn
CACHD1,txn
C1QC,txn
CIART,txn
CBR3,txn
PTMS,txn
PADI4,txn
BTG2,txn
HK2,txn
C1R,txn
ADGRG5,txn
ACE,txn
SPON2,txn
TPPP3,txn
ZDHHC1,txn
ATP6V0D1,txn
FAM131B,txn
ZYX,txn
ZNF890P,txn
TNFRSF13C,txn
CPAMD8,txn
KALRN,txn
TMPRSS3,txn
PDE9A,txn
U2AF1,txn
GATD3A,txn
ICOSLG,txn
SPATC1L,txn
S100B,txn
CLDND2,txn
ZNF208,txn
CXCR5,txn
GBAP1,txn
LMNA,txn
CCR5,txn
FCRL3,txn
HK3,txn
LY6K,txn
IER2,txn
ZNF394,txn
LY6E,txn
COL26A1,txn
MRNIP,txn
SCGB3A1,txn
PLXDC1,txn
SIGLEC11,txn
ZNF385A,txn
SIGLEC16,txn
JOSD2,txn
GRASP,txn
RAVER1,txn
SPC24,txn
TREML1,txn
ADCY10P1,txn
CXCL16,txn
SCIMP,txn
RNASEK.C17orf49,txn
ASGR2,txn
TNFSF13,txn
PAQR4,txn
ZG16B,txn
ASRGL1,txn
PDZK1IP1,txn
TAL1,txn
BEND5,txn
SLC1A7,txn
LEXM,txn
PLPP3,txn
AK4,txn
RAVER2,txn
RBP7,txn
DRAXIN,txn
DHRS3,txn
MATN1,txn
SDC3,txn
KIAA1522,txn
UBXN10,txn
CAMK2N1,txn
SCNN1D,txn
MXRA8,txn
MEGF6,txn
IL23R,txn
NEXN,txn
LRRIQ3,txn
SNX7,txn
B3GALT2,txn
NTNG1,txn
WDR63,txn
GBP4,txn
GFI1,txn
VCAM1,txn
NLRP3,txn
TRIM58,txn
OLFML2B,txn
FCGR3B,txn
FAM71A,txn
ATF3,txn
IER5,txn
PM20D1,txn
PKDCC,txn
HAAO,txn
REL,txn
CLHC1,txn
SLC16A14,txn
CTSS,txn
TNFAIP8L2,txn
S100A11,txn
S100A9,txn
S100A12,txn
KBTBD8,txn
SLC22A15,txn
SLC15A2,txn
PROK2,txn
FSTL1,txn
IGFBP7,txn
CXCR1,txn
ADORA1,txn
CCDC141,txn
EOMES,txn
TRAT1,txn
FBLN2,txn
GLB1L,txn
FCRL1,txn
MNDA,txn
AIM2,txn
EFHB,txn
RPL22L1,txn
CTLA4,txn
ICOS,txn
CD200R1,txn
WDFY3,txn
PTPN13,txn
PRICKLE2,txn
TIPARP,txn
CCNL1,txn
PTX3,txn
RPL9,txn
DNASE1L3,txn
RBM47,txn
APBB2,txn
IL17RE,txn
IL17RC,txn
CXCL3,txn
CXCL5,txn
PPBP,txn
PF4,txn
CXCL1,txn
CPA3,txn
PLB1,txn
KIF15,txn
CLEC3B,txn
CCR1,txn
GRIK3,txn
ZC3H12A,txn
TKT,txn
S100P,txn
SGMS2,txn
DNAJB14,txn
CDC25A,txn
SPRY1,txn
GRM2,txn
TMEM155,txn
MAP9,txn
GUCY1A1,txn
HPGD,txn
TMEM144,txn
GASK1B,txn
IL15,txn
ELOVL7,txn
F2RL1,txn
SCGB3A2,txn
ESM1,txn
RHOBTB3,txn
ERAP2,txn
RICTOR,txn
EBF1,txn
TLR3,txn
KLKB1,txn
ACSL6,txn
SHROOM1,txn
TMEM200A,txn
IL31RA,txn
ANKRD55,txn
PI16,txn
KIAA0895,txn
CDCA7L,txn
KIAA1324L,txn
INTS4P1,txn
TAGAP,txn
BRI3,txn
CTSB,txn
GPER1,txn
OSR2,txn
FZD6,txn
GEM,txn
ABCA1,txn
NFIL3,txn
ZMAT4,txn
NKX6.3,txn
ALDH1A1,txn
KIF27,txn
FBP1,txn
CYBB,txn
METTL27,txn
MID1IP1,txn
NCF1C,txn
PIGA,txn
NLGN4Y,txn
MELK,txn
ARMC3,txn
OTUD1,txn
HECTD2,txn
FBXO33,txn
SPTSSA,txn
CFL2,txn
FOLR2,txn
GJB2,txn
SKA3,txn
EML5,txn
TMEM63C,txn
FAAH2,txn
DACT1,txn
VSTM4,txn
SLC18A2,txn
ZNF503,txn
CLEC1B,txn
TMEM52B,txn
GFI1B,txn
DIPK1B,txn
STOX1,txn
RET,txn
ARHGEF40,txn
BTNL9,txn
UBTD1,txn
ARHGAP42,txn
LARGE2,txn
IFI27,txn
CLMN,txn
ARL5B,txn
SMCO4,txn
HTRA1,txn
LIPC,txn
SPRED1,txn
JAM3,txn
CMTM5,txn
AMN,txn
SPINT1,txn
AVPR1A,txn
CKB,txn
C2,txn
PLEKHF1,txn
DCHS1,txn
NETO1,txn
CYB5R2,txn
TUB,txn
RIC3,txn
PLD4,txn
ZMAT1,txn
XRRA1,txn
TMEM41B,txn
HDGFL3,txn
CCDC68,txn
CLEC4E,txn
CLEC4D,txn
RRAD,txn
CHRFAM7A,txn
BEX3,txn
CATSPER2,txn
STRCP1,txn
ZNF667.AS1,txn
BMERB1,txn
LDHC,txn
PCLAF,txn
LDHD,txn
ANPEP,txn
RBPMS2,txn
NAV2,txn
ANKDD1A,txn
PLK1,txn
ATP23,txn
C15orf48,txn
MS4A7,txn
MS4A14,txn
EPB42,txn
MAP1A,txn
NKX3.1,txn
TTC16,txn
CERCAM,txn
CCDC103,txn
C15orf39,txn
GPRC5B,txn
LOXHD1,txn
MYO5B,txn
PRRT2,txn
IRGQ,txn
MIDN,txn
NIBAN3,txn
CDT1,txn
TUBA1A,txn
TUBA1C,txn
SERTAD3,txn
NCKAP5L,txn
CYP2S1,txn
AXL,txn
NFKBID,txn
TMC4,txn
LENG8,txn
LAIR2,txn
KIR3DL1,txn
NLRP7,txn
PPP1R14A,txn
C19orf33,txn
TMIGD2,txn
SEMA6B,txn
SLC43A2,txn
RILP,txn
TRPV3,txn
KLK1,txn
ZNF83,txn
KRT1,txn
SOAT2,txn
CD300C,txn
CD300A,txn
HID1,txn
TMEM88,txn
EVPL,txn
TK1,txn
GSDMA,txn
BEST1,txn
FTH1,txn
BSCL2,txn
LTBP3,txn
BATF2,txn
MAJIN,txn
PBK,txn
SCARA5,txn
PNOC,txn
DDIT4,txn
PTGDR,txn
POLR2J3,txn
NT5DC2,txn
BMI1,txn
CX3CR1,txn
RAB31,txn
CAVIN2,txn
SERINC2,txn
GFRA2,txn
ADAM9,txn
AXIN2,txn
IL7R,txn
LRP1B,txn
PKIG,txn
GSTM4,txn
CXXC4,txn
NSG1,txn
ATOH8,txn
VAMP5,txn
ENHO,txn
ZNF608,txn
LGALS9,txn
JMJD7.PLA2G4B,txn
SIGLEC7,txn
SLC49A3,txn
COL4A3,txn
ROR2,txn
VXN,txn
PARM1,txn
FAM110B,txn
MN1,txn
NPIPB12,txn
EFNA1,txn
CXCL10,txn
NPIPB3,txn
CXCL11,txn
B3GALNT1,txn
P2RY12,txn
RNASE2,txn
RNASE3,txn
PTAFR,txn
RNASE6,txn
CXCL8,txn
SCN9A,txn
RASSF6,txn
SDC2,txn
SLC38A11,txn
GPR183,txn
ZEB2,txn
CLIC3,txn
CKAP2L,txn
BOLA2B,txn
RGPD8,txn
BUB1,txn
AGPAT2,txn
GP9,txn
MT1E,txn
LDB2,txn
ROBO1,txn
CTNND2,txn
AHSP,txn
WNT10B,txn
ITGAM,txn
TPST1,txn
OTUD7A,txn
IFFO2,txn
NLGN2,txn
MYO7B,txn
KCNAB3,txn
FAM153A,txn
RNF150,txn
CCDC144A,txn
FAXDC2,txn
CMTM8,txn
LGALS9B,txn
CDK1,txn
FOS,txn
OR2A20P,txn
SMAD1,txn
DCLK2,txn
GPRC5C,txn
METTL7B,txn
KRT86,txn
DENND5B,txn
CD14,txn
MZB1,txn
KRT74,txn
NPAS2,txn
KRT72,txn
LONRF2,txn
PFKFB3,txn
SLC26A5,txn
SGCD,txn
GTSF1,txn
RASA4B,txn
SDR16C5,txn
GPR27,txn
RNF139,txn
CYTL1,txn
OSCAR,txn
ZNF415,txn
CAVIN3,txn
CEACAM3,txn
PDGFD,txn
PKIA,txn
FPR2,txn
FPR1,txn
SIGLEC17P,txn
HSFX1,txn
RBKS,txn
SCAND1,txn
JUNB,txn
LRG1,txn
SHCBP1,txn
NPTX1,txn
ZNF439,txn
GAA,txn
TPPP,txn
MCC,txn
DSEL,txn
HOPX,txn
LPAR3,txn
PTGER4,txn
NMUR1,txn
ENC1,txn
P2RY6,txn
S100Z,txn
GPR82,txn
GPR34,txn
PLEKHG5,txn
ANO5,txn
TMEM51,txn
GATM,txn
SYCE1,txn
RASGRP4,txn
KNDC1,txn
COL8A2,txn
ZNF540,txn
RRM2,txn
C3AR1,txn
LGALS9C,txn
CYP4F22,txn
SYNPO,txn
MAL,txn
ANKRD20A4,txn
EPHX4,txn
LAMB2,txn
SERF1A,txn
KLF11,txn
CD8B,txn
FRMD3,txn
CXCR6,txn
TPSAB1,txn
CLEC7A,txn
NEGR1,txn
MACROD2,txn
CLEC12A,txn
RCAN2,txn
PRSS30P,txn
MANEA,txn
CARNS1,txn
CTSW,txn
NIPAL4,txn
SMPDL3A,txn
RND1,txn
AGAP5,txn
CORO1B,txn
FUT10,txn
RAB43,txn
HOXC5,txn
KRT2,txn
NBEA,txn
MYEOV,txn
LCLAT1,txn
EVC2,txn
BNC2,txn
HPSE,txn
HSPA6,txn
LRRN3,txn
ABLIM3,txn
TUBB8B,txn
DMRT2,txn
SLC2A14,txn
ZBTB21,txn
TRIB1,txn
C1QB,txn
C1QA,txn
OLR1,txn
THAP2,txn
ZNRD2,txn
PTPRM,txn
TNFRSF10C,txn
XCR1,txn
CCR9,txn
SULT1B1,txn
TRAPPC3L,txn
SUSD5,txn
CD7,txn
JUP,txn
TDRD12,txn
EIF1,txn
PLK3,txn
PHOSPHO1,txn
GPR160,txn
HOXB2,txn
MARCHF3,txn
SLCO4C1,txn
KLHL15,txn
CD34,txn
TLR10,txn
RGMB,txn
LOC105370792,txn
SELP,txn
ZNF80,txn
TNK1,txn
PODN,txn
EXO1,txn
CNTNAP2,txn
GALNTL6,txn
LINGO2,txn
ANKRD36C,txn
CMKLR1,txn
UGT8,txn
SH3PXD2B,txn
FAM241A,txn
WDR49,txn
RIN1,txn
CD248,txn
ADGRE1,txn
NLRP6,txn
P2RY14,txn
GPR171,txn
CHST2,txn
UBE2C,txn
DES,txn
MARCKSL1,txn
CADM2,txn
ABO,txn
DDIT3,txn
GOLGA8A,txn
TP53I11,txn
CATSPER1,txn
CHRNA7,txn
NRIP3,txn
LPL,txn
MCTP1,txn
LRRC25,txn
KCNE3,txn
ALG10B,txn
P2RY2,txn
FOSL1,txn
CCDC85B,txn
LINC00476,txn
RMI2,txn
C15orf54,txn
GAPT,txn
BAIAP2,txn
ZDHHC21,txn
ARL4D,txn
PLEKHD1,txn
TUBB6,txn
JAKMIP2,txn
MBLAC2,txn
ZNF683,txn
SPHK1,txn
ZNF135,txn
PLAAT3,txn
DIRAS1,txn
GNG7,txn
B3GNT5,txn
LRRC37A,txn
BOK,txn
TTTY14,txn
CDK5R1,txn
NCKAP5,txn
LRRC37A3,txn
METRNL,txn
TYMS,txn
GCNT4,txn
MUC20,txn
TALDO1,txn
B3GNT8,txn
BEND2,txn
C8orf31,txn
OVOS2,txn
HIC1,txn
PAWR,txn
CD19,txn
RBM44,txn
SAMD12,txn
CD163,txn
JUN,txn
PGBD5,txn
AGTRAP,txn
CRACR2B,txn
CD151,txn
FAM20C,txn
KCNJ10,txn
CCDC184,txn
ZBTB41,txn
RPS27,txn
ODF3B,txn
DPY19L2,txn
ALS2CL,txn
MLF1,txn
GRAMD1C,txn
GOLGA8Q,txn
PARD6G,txn
ZC3H12D,txn
PLEC,txn
RNF212,txn
GEN1,txn
GLDC,txn
MAF,txn
GPR35,txn
KCTD12,txn
GRINA,txn
THBD,txn
GP5,txn
ERFE,txn
CD300LB,txn
EFCAB13,txn
MSC,txn
AURKB,txn
PER1,txn
SPTY2D1,txn
GIMAP7,txn
FUCA1,txn
LDLRAD3,txn
LOC100128310,txn
NSUN7,txn
FAM156B,txn
RAB39A,txn
HLA.DQB1,txn
EGR3,txn
MKRN3,txn
SLITRK4,txn
ALOX15B,txn
CDC42EP4,txn
FCER1A,txn
WDR97,txn
PCED1B,txn
APOBEC3B,txn
MYADM,txn
AKAP5,txn
GIPC3,txn
ZNF154,txn
ITLN1,txn
GPBAR1,txn
C14orf119,txn
CCR8,txn
BBS10,txn
TMEM150B,txn
ANKRD18A,txn
LYNX1,txn
TDRP,txn
HERC2P3,txn
FGD6,txn
FZD2,txn
KCNE1,txn
TSPYL5,txn
FUT7,txn
H2AC6,txn
EIF2S3B,txn
H2BC4,txn
MB21D2,txn
PRF1,txn
YOD1,txn
TMEM64,txn
SHISA2,txn
S1PR5,txn
SMG1P3,txn
CHST13,txn
CXCR2,txn
GREM2,txn
CUEDC1,txn
TRAPPC5,txn
RPH3AL,txn
FCRL6,txn
F2R,txn
HLA.V,txn
MUC16,txn
C4orf50,txn
WASHC1,txn
AATK,txn
DDN,txn
ZNF467,txn
TMEM45A,txn
C6orf223,txn
SLX1B,txn
P2RY13,txn
TNFSF15,txn
PHLDA2,txn
PLAG1,txn
DIPK2A,txn
GPR3,txn
TIGIT,txn
C5orf24,txn
LINC02724,txn
CCDC149,txn
RTKN2,txn
PNMA8A,txn
CHST15,txn
TMEM30B,txn
LDOC1,txn
FAM153B,txn
BACE2,txn
SYNM,txn
B4GALNT4,txn
AP1S2,txn
PLCXD1,txn
NXPH4,txn
CACNB4,txn
TSHZ2,txn
CAPN12,txn
KPNA2,txn
NCF1B,txn
XKRX,txn
FES,txn
MXRA7,txn
CLEC4G,txn
CSF1R,txn
EPHB3,txn
PLCB1,txn
NDN,txn
IGIP,txn
RGS6,txn
HCAR2,txn
CRIP2,txn
C16orf72,txn
VMO1,txn
COL18A1,txn
RGS7,txn
ODF3L1,txn
ZNF662,txn
CADM1,txn
PYCR1,txn
MCEMP1,txn
SLC8A1,txn
RGPD6,txn
GAS6,txn
NEB,txn
BEGAIN,txn
CSMD1,txn
PTGDR2,txn
TMEM119,txn
RIMBP3C,txn
PLGLB1,txn
PRSS40A,txn
TMEM121B,txn
BOLA2,txn
FHL3,txn
MEX3B,txn
PI4KAP2,txn
TENT5C,txn
KLRC4,txn
PCBP3,txn
DGCR6,txn
TAFA1,txn
EFHC2,txn
NOG,txn
LHFPL6,txn
CMTM4,txn
ASCL2,txn
KREMEN1,txn
AIFM3,txn
ZNF703,txn
TUBA8,txn
NPIPA5,txn
CCR4,txn
MAATS1,txn
PNMA3,txn
FAM3B,txn
TOB2,txn
SCN5A,txn
UTY,txn
SH2D1A,txn
KCNH8,txn
ADAP2,txn
SREBF2.AS1,txn
TREML3P,txn
CLDN5,txn
PPP1R2,txn
TSPYL2,txn
GOLGA6L4,txn
OLIG1,txn
PCDH9,txn
ACOT1,txn
OAF,txn
TACSTD2,txn
CLECL1,txn
PRKD1,txn
CCSER1,txn
ZDHHC23,txn
MROH7,txn
EFNA5,txn
MAP7D2,txn
UMODL1.AS1,txn
PROS1,txn
BEX5,txn
DUSP8,txn
SOCS3,txn
PDE4B,txn
NELL2,txn
CDCA2,txn
H2BC21,txn
SEPTIN5,txn
OSBP2,txn
PRR16,txn
SDR42E1,txn
H1.10,txn
TCEAL2,txn
NUTM2A,txn
USP18,txn
MAFF,txn
SLC24A3,txn
ANO9,txn
MIXL1,txn
PRSS57,txn
TNFAIP2,txn
GP1BA,txn
KLHL33,txn
RBM11,txn
IL3RA,txn
RGPD2,txn
SOCS1,txn
TCN2,txn
GAS2L1,txn
TEDC1,txn
STAC3,txn
ROR1,txn
IRF7,txn
SV2B,txn
PCGF3,txn
PBX1,txn
SYN3,txn
SNAI3,txn
MYBL1,txn
ADARB2,txn
IFIT1,txn
ARL17A,txn
NPIPB4,txn
FFAR3,txn
C16orf54,txn
IRS2,txn
CCIN,txn
DLEU7,txn
KRT73,txn
CD300LF,txn
KRT5,txn
NBPF6,txn
LRRC70,txn
ZBTB6,txn
KIF18B,txn
FFAR4,txn
SAPCD2,txn
EDARADD,txn
CYP4F12,txn
MARC1,txn
LINC02610,txn
BTLA,txn
GPAT2,txn
NAP1L3,txn
RXRA,txn
GOLGA8R,txn
CD300E,txn
FCAR,txn
NAP1L2,txn
BTN3A2,txn
FAM86B1,txn
CYP4F3,txn
MIR22HG,txn
CARMIL3,txn
PRG2,txn
MST1L,txn
CXCR3,txn
LILRB4,txn
TNFRSF4,txn
TRABD2A,txn
ERCC6L,txn
TNFRSF18,txn
GPR141,txn
MITF,txn
LILRA5,txn
CMC1,txn
AKR1C1,txn
VSTM2B,txn
SHTN1,txn
TSPYL4,txn
MAGED4B,txn
WDR86,txn
FPR3,txn
C11orf96,txn
C12orf74,txn
TLR5,txn
ISG15,txn
C17orf97,txn
RGPD1,txn
C2orf88,txn
DNAH17,txn
CARD9,txn
PEAR1,txn
SOWAHD,txn
H1.2,txn
EIF4EBP1,txn
TTC24,txn
CLEC17A,txn
LCN10,txn
OR7D2,txn
TPRG1,txn
RTP5,txn
CLCN1,txn
TREML4,txn
AGRN,txn
NHS,txn
ZNF626,txn
NUTM2B,txn
NCR3LG1,txn
ZNF793,txn
TUBB4B,txn
RUFY4,txn
HES4,txn
PEAK3,txn
PLSCR1,txn
SBK1,txn
ZP3,txn
H3.5,txn
PDCD1,txn
IER5L,txn
H2AX,txn
HBA2,txn
GOLGA8M,txn
ZNF177,txn
SAXO2,txn
TEKT4P2,txn
FSIP2,txn
ZDHHC11,txn
CALHM6,txn
CNR2,txn
BEND4,txn
LRRK2,txn
USP32P1,txn
UTS2B,txn
KIR2DL4,txn
FAM111B,txn
H1.0,txn
VSTM1,txn
ANKRD34B,txn
GRAPL,txn
ZNF600,txn
PAX8.AS1,txn
NUGGC,txn
TSPYL1,txn
DRICH1,txn
FHIT,txn
TOGARAM2,txn
KIAA0408,txn
MMP23B,txn
NCR1,txn
SYCP2,txn
PAX5,txn
HLA.DRB1,txn
AKR1C3,txn
FAT4,txn
COLCA1,txn
KIF19,txn
ZNF681,txn
SEMA4A,txn
SIRPB2,txn
LCOR,txn
ZNF471,txn
ZNF493,txn
GIMAP5,txn
NTNG2,txn
NBPF4,txn
NPIPB15,txn
SULT1A1,txn
SLC6A9,txn
AFAP1,txn
SPTSSB,txn
MME,txn
CACNA1H,txn
SULF2,txn
HBG2,txn
PLXNB2,txn
AJAP1,txn
XRCC2,txn
MYO6,txn
TCF4,txn
ZNF502,txn
TLR7,txn
TRPV1,txn
ZNF418,txn
DAPK1,txn
HLA.DQA1,txn
COL27A1,txn
GM2A,txn
TLE1,txn
MAML3,txn
H2AC11,txn
MVB12B,txn
ZFP28,txn
SCN8A,txn
KPNA5,txn
ANKRD36B,txn
FLNA,txn
NPIPB9,txn
SERTAD1,txn
ZNF100,txn
GMFB,txn
SIGLEC15,txn
DTHD1,txn
MAFG,txn
KIAA1671,txn
GAL3ST4,txn
SLC25A29,txn
PGAP1,txn
SRC,txn
ZNF257,txn
SULT1A2,txn
SERPINA1,txn
TPSB2,txn
IL27,txn
RAD54B,txn
ZNF165,txn
PELI1,txn
LYPD2,txn
ZNF860,txn
C5AR1,txn
VEPH1,txn
GYPE,txn
COL13A1,txn
ZNF628,txn
SLC28A3,txn
FAM177B,txn
GZMM,txn
PRAMENP,txn
CXorf40A,txn
MPEG1,txn
SERPINB2,txn
DPP4,txn
KLHL14,txn
RPS26,txn
PSAP,txn
CFD,txn
KLHDC1,txn
TAF13,txn
CCDC180,txn
OCLN,txn
INKA2,txn
MDS2,txn
UGT2B17,txn
DNM3,txn
GOLGA6L9,txn
SNHG12,txn
CLEC9A,txn
FCGR1B,txn
ZNF667,txn
SIRPA,txn
NPIPB13,txn
CHSY3,txn
TOR4A,txn
LPAR1,txn
SOWAHC,txn
NPIPB6,txn
SVIP,txn
CLEC4C,txn
RPS6KL1,txn
CSF2RA,txn
MYL4,txn
HOXC4,txn
PIM3,txn
NRARP,txn
TPM2,txn
FLVCR1.DT,txn
SH3BGRL2,txn
HLA.DRB5,txn
ARMH1,txn
SH2D1B,txn
MMP17,txn
PAPSS2,txn
EIF1AY,txn
ND6,txn
COX2,txn
CYTB,txn
F5,txn
MSRB1,txn
SLC5A3,txn
OXCT2,txn
COLGALT2,txn
ND2,txn
FAM169A,txn
GRIN3A,txn
ND5,txn
SCAMP5,txn
ALPK2,txn
COX1,txn
PNP,txn
SUCNR1,txn
ND3,txn
TOX,txn
CES1,txn
RUSC2,txn
ITPRIPL1,txn
ND4,txn
ND1,txn
ATP6,txn
GPRASP1,txn
TBKBP1,txn
COX3,txn
MFAP3L,txn
NAGA,txn
TGM2,txn
RORB,txn
RN7SK,txn
INF2,txn
GP1BB,txn
CR1,txn
FCGR3A,txn
DDO,txn
H2AC18,txn
RBM20,txn
SNHG5,txn
LIME1,txn
LINC01270,txn
LCN8,txn
IFIT1B,txn
LIPN,txn
NEU4,txn
MAFB,txn
CHIC1,txn
GGTA1P,txn
TMEM273,txn
CXorf65,txn
AGAP9,txn
SYT15,txn
BMS1P1,txn
PTPN20,txn
ZDBF2,txn
TCEA3,txn
HLA.DOA,txn
COL5A2,txn
NOTCH4,txn
PRRT1,txn
NEU1,txn
HSPA1B,txn
HSPA1A,txn
MPIG6B,txn
LY6G6F,txn
AIF1,txn
LST1,txn
LILRB3,txn
HLA.J,txn
ZNRD1ASP,txn
HLA.G,txn
TBC1D8,txn
ZFP57,txn
FAM153CP,txn
C9orf135,txn
MROH6,txn
TCTN1,txn
NAT8B,txn
MZT1,txn
SPIRE2,txn
PKHD1L1,txn
TRIQK,txn
ZBTB10,txn
PSMB10,txn
VIT,txn
TMEM170B,txn
MUC12,txn
SAP25,txn
ADGRG1,txn
TP53TG3D,txn
ATP6AP1L,txn
CPT1B,txn
MFSD2B,txn
SMIM11A,txn
C17orf107,txn
KLRC2,txn
KLRC3,txn
LINC00487,txn
CLEC6A,txn
DEFA1,txn
ZDHHC11B,txn
GOLGA8O,txn
TMEM191C,txn
HBA1,txn
DUXAP8,txn
HCG27,txn
COLQ,txn
RNVU1.7,txn
RNU1.1,txn
RNVU1.30,txn
RNVU1.15,txn
RNU1.4,txn
GPX3,txn
TARP,txn
TAS2R14,txn
ND4L,txn
C1orf220,txn
CRIP1,txn
ARHGEF35,txn
TCL1B,txn
GSTM2,txn
PTPRCAP,txn
GPC2,txn
GBP7,txn
CPLX3,txn
SLX1A.SULT1A3,txn
PPP1CB,txn
SULT1A4,txn
S1PR3,txn
KLRK1,txn
HBG1,txn
ITGA1,txn
MRPL23,txn
TSPAN4,txn
PRCD,txn
C19orf38,txn
ANG,txn
SCART1,txn
SOGA3,txn
KANSL1.AS1,txn
LCNL1,txn
LINC02085,txn
AS3MT,txn
MEG3,txn
EML6,txn
ZNF727,txn
CSKMT,txn
LINC00243,txn
NPIPA8,txn
ARHGEF28,txn
CBWD6,txn
LOC441666,txn
GOLGA8B,txn
DDX3X,txn
MIR17HG,txn
AATBC,txn
RPL17.C18orf32,txn
LINC00189,txn
ANKRD20A11P,txn
BCORP1,txn
RSC1A1,txn
TNFRSF25,txn
SLC35E2A,txn
MMP23A,txn
IFI30,txn
LOC100288175,txn
PLXNA4,txn
CEBPD,txn
ZNF816.ZNF321P,txn
XKR9,txn
LINC01465,txn
KIR2DS4,txn
FADS3,txn
BTBD19,txn
HBD,txn
RFPL4A,txn
NSUN5P1,txn
FAM95B1,txn
HRAT92,txn
HLA.DPB1,txn
DDX11L1,txn
LINC02561,txn
LINC01857,txn
OR2L1P,txn
MSL3P1,txn
LOC101929331,txn
PRR29,txn
C4B,txn
SMIM25,txn
TMLHE.AS1,txn
HLA.DPB2,txn
NPIPA3,txn
DUXAP9,txn
LINC02470,txn
GBP1P1,txn
FAM225B,txn
DBH.AS1,txn
MIAT,txn
CTAGE4,txn
LINC02528,txn
LGALS17A,txn
LINC01772,txn
LINC00937,txn
BAIAP2.DT,txn
WASH8P,txn
CUTALP,txn
FAM30A,txn
LCT.AS1,txn
THORLNC,txn
LINC00511,txn
C14orf132,txn
WDR11.AS1,txn
RBM26.AS1,txn
LINC01806,txn
FGF7P6,txn
LTB,txn
INKA2.AS1,txn
SLC9A7P1,txn
POLR2J2,txn
ATP8,txn
CYP4F29P,txn
LINC01013,txn
NUTM2E,txn
CES1P1,txn
SAPCD1,txn
LINC00954,txn
HCG22,txn
EPHA1.AS1,txn
PGA4,txn
LINC00200,txn
RFPL4AL1,txn
ORM1,txn
HLA.DRB6,txn
PATL2,txn
ZNF492,txn
XIST,txn
PGA3,txn
ANKRD36BP2,txn
LOC101928626,txn
HOXB.AS1,txn
FAM41C,txn
LOC284191,txn
HLA.DPA1,txn
LINC00689,txn
WASIR2,txn
FAM225A,txn
LINC00278,txn
ANKRD44.AS1,txn
LINC.PINT,txn
EMBP1,txn
LEF1.AS1,txn
LINC00865,txn
AJM1,txn
HLA.DQB2,txn
GOLGA8N,txn
LINC00665,txn
TNF,txn
RPL23AP87,txn
SNHG15,txn
LINC00892,txn
LOC107985040,txn
LOC102606465,txn
GPX1,txn
USP32P2,txn
CHRM3.AS2,txn
LOC200772,txn
DDX11L10,txn
ANAPC1P1,txn
LINC01237,txn
LINC01503,txn
KRTAP5.AS1,txn
LINC01781,txn
LOC730268,txn
LINC01505,txn
MAGI2.AS3,txn
LINC01506,txn
LINC01800,txn
MED14OS,txn
NPIPB2,txn
HNRNPUL2.BSCL2,txn
MIR155HG,txn
PPP1R3E,txn
HIPK1.AS1,txn
MSC.AS1,txn
LINC00402,txn
NFAM1,txn
LINC00494,txn
LINC00894,txn
TSPEAR.AS1,txn
GUSBP5,txn
LOC107984360,txn
FAM157A,txn
MAP3K2.DT,txn
LINC00299,txn
MIR600HG,txn
LINC00987,txn
SMG1P1,txn
ZNF737,txn
OXCT2P1,txn
KIFC1,txn
LINC01238,txn
PRKCQ.AS1,txn
LINC00649,txn
LINC01679,txn
ZEB2.AS1,txn
LRRC37A2,txn
GOLGA2P5,txn
LINC01410,txn
LOC105376805,txn
SCARNA10,txn
TXNDC5,txn
PSMD6.AS2,txn
CDRT4,txn
TLR9,txn
LILRA4,txn
LILRA2,txn
AMY2B,txn
LY6G5B,txn
PCDHGC3,txn
KIR3DL2,txn
FOXO3B,txn
TNFRSF13B,txn
L1TD1,txn
PNMA2,txn
LINC00886,txn
PLCXD2,txn
MIF,txn
HLA.DOB,txn
LINC00877,txn
PDXP,txn
CD302,txn
ARHGAP8,txn
GUSBP2,txn
PLEKHO2,txn
PWP2,txn
AMACR,txn
CRYZL2P,txn
PEG10,txn
BMS1P4.AGAP5,txn
ARPIN,txn
SERPINB10,txn
GNG10,txn
RTL5,txn
ZNF702P,txn
ZNF709,txn
STRC,txn
MICAL3,txn
PPAN.P2RY11,txn
TICAM2,txn
CFB,txn
PLA2G4B,txn
NPIPB5,txn
HLA.L,txn
KIR2DL3,txn
WDR86.AS1,txn
OR2A7,txn
FAM86DP,txn
DNAJC25.GNG10,txn
IFITM10,txn
DUXAP10,txn
LILRA6,txn
CTAGE8,txn
C4A,txn
HBB,txn
LINC00861,txn
NEAT1,txn
CEBPA,txn
LINC02273,txn
NUDT16P1,txn
LOC100507053,txn
KCTD21.AS1,txn
CASC8,txn
LACTB2.AS1,txn
LINC00968,txn
LINC002481,txn
LINC01252,txn
GPRC5D.AS1,txn
LINC00926,txn
BCKDHA,txn
LUCAT1,txn
PRR5.ARHGAP8,txn
FAM198B.AS1,txn
DDX11L9,txn
RBM14.RBM4,txn
LY75.CD302,txn
TRIM59.IFT80,txn
LINC02432,txn
TNFSF12.TNFSF13,txn
C5orf17,txn
FMN1,txn
ATP5MF.PTCD1,txn
SLED1,txn
NAIP,txn
LOC285638,txn
LINC01259,txn
CTD.2201I18.1,txn
GOLGA8K,txn
ARPIN.AP3S2,txn
LOC101929141,txn
ARPC4.TTLL3,txn
LOC107986412,txn
