"","Protein","logFC","P.Value","adj.P.Val","UniProt.ID","Protein.name","Gene.name","Explore.384.panel","Significance","LFC"
"174","CCL18",0.282250195726178,0.00671398526036714,0.0198633389838595,"P28325","Cystatin-D","CST5","Neurology",0,0
"175","CCL19",0.326043791646624,0.00236712038965809,0.00797130518314585,"P35221","Catenin alpha-1","CTNNA1","Neurology_II",0,0
"176","CCL22",0.196698206584207,0.0152778168549826,0.0408947423691522,"P17538","Chymotrypsinogen B","CTRB1","Neurology",0,0
"177","CCL27",0.180499783540676,0.0193406054106322,0.049633529073993,"P40313","Chymotrypsin-like protease CTRL-1","CTRL","Neurology_II",0,0
"178","CCL3",0.268387358929392,0.0102783230678456,0.0289158212967398,"P25774","Cathepsin S","CTSS","Neurology",0.000374217842196811,0.159032881311532
"179","CCL5",2.13762586718167,4.40965148639273e-18,1.20461787801177e-16,"Q86UP6","CUB and zona pellucida-like domain-containing protein 1","CUZD1","Neurology_II",0,0
"180","CCL7",0.287440444899725,0.013087125353879,0.0357177099994288,"P78423","Fractalkine","CX3CL1","Neurology",0,0
"181","CCL8",0.323427955330116,0.000515728046235822,0.00195137629765828,"O14625","C-X-C motif chemokine 11","CXCL11","Neurology",1.18439511384815e-07,0.808352038679652
"182","CCN2",0.614520610574944,1.17986505464531e-14,1.65805074746549e-13,"O43927","C-X-C motif chemokine 13","CXCL13","Neurology",0,0
"183","CCN3",0.162936323834282,0.0171254169053331,0.0449753761134668,"P10145","Interleukin-8","CXCL8","Neurology",0.00387154789570107,1.41796822639167
"184","CCN4",0.129568927471676,0.0192138530274177,0.0493515750431826,"P14868","Aspartate--tRNA ligase, cytoplasmic","DARS1","Neurology",2.30915584828362e-12,0.824445233858834
"185","CCS",0.554421528190376,1.33773360867818e-07,8.18032497524334e-07,"P07108","Acyl-CoA-binding protein","DBI","Neurology",2.29687343585659e-17,0.956267148486471
"186","CCT5",0.19024091870174,0.0196770603488285,0.0503643147107056,"P43146","Netrin receptor DCC","DCC","Neurology_II",0,0
"187","CD163",0.254963258432686,0.00404799695434105,0.0129456182686421,"O00399","Dynactin subunit 6","DCTN6","Neurology",0.00164767059850472,0.508210212746598
"188","CD164",0.224072956895802,2.16035581231137e-06,1.14604719408097e-05,"Q96GG9","DCN1-like protein 1","DCUN1D1","Neurology_II",0,0
"189","CD226",0.269431234181779,0.00196547846813562,0.00674306756145589,"O94830","Phospholipase DDHD2","DDHD2","Neurology_II",0.00272262360877875,0.276416190146623
"190","CD274",0.136201676176005,0.0413867148565098,0.0956311205735795,"Q08345","Epithelial discoidin domain-containing receptor 1","DDR1","Neurology",0,0
"191","CD2AP",0.54784298496146,1.37772334722411e-06,7.48528874337562e-06,"Q9UHL0","ATP-dependent RNA helicase DDX25","DDX25","Neurology_II",0,0
"192","CD300LF",0.286203612402518,0.00847972456311553,0.024335216793808,"Q86TM3","Probable ATP-dependent RNA helicase DDX53","DDX53","Neurology_II",0,0
"193","CD302",0.172978185651002,0.0169292130167529,0.0445000806186768,"Q8WTQ1","Beta-defensin 104","DEFB104A_DEFB104B","Neurology_II",0,0
"194","CD34",-0.0790613585893174,0.0431756530139583,0.0992157498111637,"Q30KQ4","Beta-defensin 116","DEFB116","Neurology_II",0,0
"195","CD36",0.211434497721514,2.71024997358679e-05,0.000124953638372148,"Q96PH6","Beta-defensin 118","DEFB118","Neurology_II",0,0
"196","CD40",0.407955600427376,3.79674748975343e-12,3.64617514460962e-11,"Q14129","Protein DGCR6","DGCR6","Neurology_II",0,0
"197","CD40LG",1.07054457389811,8.28476303571526e-17,1.79380461877005e-15,"Q6PKH6","Dehydrogenase/reductase SDR family member 4-like 2","DHRS4L2","Neurology_II",3.26745027583753e-09,0.558347781366443
"198","CD59",0.0949931326399941,0.0191980010821452,0.0493515750431826,"Q0P6D2","Divergent protein kinase domain 1C","DIPK1C","Neurology_II",0,0
"199","CD6",0.22052656235593,0.0210223493820615,0.0533884865599893,"O94907","Dickkopf-related protein 1","DKK1","Neurology",7.12306066568159e-08,0.55801685368874
"200","CD63",0.472549582477837,5.45318431731848e-08,3.4955389823513e-07,"Q9UBT3","Dickkopf-related protein 4","DKK4","Neurology",0,0
"201","CD69",1.20830930657903,3.26607407376292e-21,3.81869380704361e-19,"P78352","Disks large homolog 4","DLG4","Neurology_II",0.00019616451579287,0.391549101791596
"202","CD72",0.219560556383797,0.00788271006128545,0.0228582951479537,"Q15398","Disks large-associated protein 5","DLGAP5","Neurology_II",0,0
"203","CD74",0.262375114458319,0.000381328200077211,0.00147436815982234,"Q8WW22","DnaJ homolog subfamily A member 4","DNAJA4","Neurology_II",0.000492357310690846,0.500829991097392
"204","CD80",0.202382388869605,0.0154475795208109,0.041273560273611,"Q5F1R6","DnaJ homolog subfamily C member 21","DNAJC21","Neurology_II",0.00116983247922846,0.176739056526504
"205","CD84",0.188891572614996,0.000383479433932153,0.00147877359549299,"Q5SXM8","DNL-type zinc finger protein","DNLZ","Neurology_II",0,0
"206","CD99",0.103227176712599,0.00494369003684027,0.015186072492789,"Q9UQ16","Dynamin-3","DNM3","Neurology_II",3.11968961760852e-07,0.419807885292063
"207","CDC26",1.1932975883505,2.98692729813635e-21,3.6378285385219e-19,"Q6XZF7","Dynamin-binding protein","DNMBP","Neurology",0.000355724954245476,0.315431973701764
"208","CDC27",0.322347221598903,0.00382112487910906,0.0123143859113956,"Q9ULA0","Aspartyl aminopeptidase","DNPEP","Neurology_II",0.000691249476020625,0.435844693719872
"209","CDC37",0.823917435866586,1.01691469373834e-16,2.13844723006989e-15,"Q14184","Double C2-like domain-containing protein beta","DOC2B","Neurology_II",0,0
"210","CDC42BPB",0.515976372503091,9.04274923652312e-12,8.39109714868479e-11,"Q9BZ29","Dedicator of cytokinesis protein 9","DOCK9","Neurology_II",0,0
"211","CDCP1",0.371854594407308,0.000876915188421901,0.00318412806926362,"Q99704","Docking protein 1","DOK1","Neurology_II",1.27413008594508e-13,1.19767898086942
"212","CDH1",0.154761970531738,0.00626654115774411,0.0187263425859974,"P16444","Dipeptidase 1","DPEP1","Neurology",0,0
"213","CDH2",0.249250801709988,0.00425426428346135,0.0134743656395074,"Q8NBI3","Draxin","DRAXIN","Neurology",0,0
"214","CDHR2",0.561650963821943,4.00916404891544e-05,0.000180566818412632,"Q02487","Desmocollin-2","DSC2","Neurology",0,0
"215","CDHR5",0.226314957559657,0.00351911189959668,0.0114292934250234,"O60469","Down syndrome cell adhesion molecule","DSCAM","Neurology_II",0.0252938360733448,0.18687804395518
"216","CDK5RAP3",0.247529269931106,0.00430086738187945,0.0135760641006843,"Q14126","Desmoglein-2","DSG2","Neurology",0,0
"217","CDKN1A",1.55525648893815,6.97547641241005e-19,2.48650214066763e-17,"Q86UW9","Probable E3 ubiquitin-protein ligase DTX2","DTX2","Neurology_II",0,0
"218","CDKN2D",1.93232709006881,9.61248936375404e-20,4.92935200179878e-18,"Q68J44","Dual specificity phosphatase 29","DUSP29","Neurology_II",0,0
"219","CEACAM1",0.168214263229884,0.000668088030283717,0.00248134855466239,"P51452","Dual specificity protein phosphatase 3","DUSP3","Neurology",0.00147820724094138,0.899512896785319
"220","CEACAM19",0.177307500521962,0.0116038912742082,0.0319982775419911,"O77932","Decapping and exoribonuclease protein","DXO","Neurology_II",1.16088006112947e-14,0.778450257074804
"221","CEBPA",0.213115256469012,0.000751085505769228,0.00277199865323668,"P63172","Dynein light chain Tctex-type 1","DYNLT1","Neurology_II",0.000769179770750367,0.292549357777464
"222","CEMIP2",0.202840305899588,0.00146374263973504,0.00514245160570376,"O00559","Receptor-binding cancer antigen expressed on SiSo cells","EBAG9","Neurology",2.77382696597212e-20,1.22729649155351
"223","CENPF",0.513999463779541,1.74531571907865e-05,8.43232701961471e-05,"P42892","Endothelin-converting enzyme 1","ECE1","Neurology",0,0
"224","CEP112",0.14280494933083,0.0255669484825699,0.0633860817765495,"Q19T08","Endothelial cell-specific chemotaxis regulator","ECSCR","Neurology_II",0,0
"225","CEP170",0.627593431002247,1.24172628020912e-09,9.42744394039289e-09,"O60869","Endothelial differentiation-related factor 1","EDF1","Neurology_II",0.000144643021944185,0.59422014493373
"226","CEP20",0.873351795086806,1.20887393642618e-12,1.22692309589365e-11,"Q9BUP0","EF-hand domain-containing protein D1","EFHD1","Neurology_II",0,0
"227","CEP43",0.569294767363412,1.16266894760944e-07,7.18494996588244e-07,"P20827","Ephrin-A1","EFNA1","Neurology",0,0
"228","CEP85",0.364611211716897,0.000123836246267296,0.000514166687271744,"P52798","Ephrin-A4","EFNA4","Neurology",0.0498572169536226,0.11979921457839
"229","CERT",0.634930511737964,1.07309513737602e-05,5.25403197077068e-05,"P52799","Ephrin-B2","EFNB2","Neurology_II",0,0
"230","CES1",0.642907627339999,1.73297124523866e-06,9.29444944923412e-06,"P47813","Eukaryotic translation initiation factor 1A, X-chromosomal","EIF1AX","Neurology_II",4.13738482334782e-11,0.970557700813754
"231","CES2",0.238092043396976,0.00463515239300806,0.0144440836298108,"P23588","Eukaryotic translation initiation factor 4B","EIF4B","Neurology",4.25615093281491e-13,1.11280143747996
"232","CETN2",0.891189613404019,3.58449917634898e-08,2.33872569028305e-07,"O43432","Eukaryotic translation initiation factor 4 gamma 3","EIF4G3","Neurology_II",0.000178743029708338,0.504990353429759
"233","CETN3",1.14984933591155,1.39519083648113e-16,2.85184812240164e-15,"Q9H777","Zinc phosphodiesterase ELAC protein 1","ELAC1","Neurology_II",9.29189759979882e-12,1.22974261145302
"234","CFC1",0.154614611595158,0.0248200501834061,0.0618491105593318,"P26378","ELAV-like protein 4","ELAVL4","Neurology_II",0,0
"235","CFH",0.114674072212965,0.00664377542860021,0.0196755375661585,"P06733","Alpha-enolase","ENO1","Neurology",1.63344040527228e-18,1.10752778622145
"236","CGN",0.245801277423782,0.0052994910375069,0.0161695326749819,"P09104","Gamma-enolase","ENO2","Neurology",3.76993835468642e-15,0.849974631724851
"237","CHAC2",0.300466422076,0.017385715579121,0.0455362425069631,"Q9HCM4","Band 4.1-like protein 5","EPB41L5","Neurology_II",0,0
"238","CHCHD10",0.222788431673547,0.00910846187472995,0.0258235053926631,"Q5JZY3","Ephrin type-A receptor 10","EPHA10","Neurology",0,0
"239","CHCHD6",0.214491799782564,0.00123073340697919,0.0043817707047505,"O15197","Ephrin type-B receptor 6","EPHB6","Neurology",0,0
"240","CHGB",-0.183729230706358,0.0285424182550196,0.0694149190775776,"O15083","ERC protein 2","ERC2","Neurology_II",0.0759016670142659,0.329003625597587
"241","CHI3L1",0.487885404085471,0.00165181852112368,0.00574793516338634,"O14944","Proepiregulin","EREG","Neurology",0,0
"242","CHM",0.284585321198292,0.00890638972883033,0.0253242968651469,"A0FGR8","Extended synaptotagmin-2","ESYT2","Neurology_II",9.6440125011315e-11,0.685408511439394
"243","CHMP1A",1.11815684619989,1.01945305085786e-15,1.74484520875903e-14,"P15311","Ezrin","EZR","Neurology",0.000404950489871382,0.202853696599603
"244","CHMP6",0.568385537668297,1.59189605948805e-13,1.86871975176046e-12,"Q9Y624","Junctional adhesion molecule A","F11R","Neurology",3.5931575624235e-13,0.459374010519693
"245","CIAPIN1",1.02944312162295,1.01869298872355e-23,6.12369363052864e-21,"Q01469","Fatty acid-binding protein 5","FABP5","Neurology",8.83306006432105e-16,0.835864963805036
"246","CIRBP",1.84597245863332,2.32690935694254e-20,1.58175722101001e-18,"A8MVW0","Protein FAM171A2","FAM171A2","Neurology_II",0,0
"247","CIT",0.318370865916793,0.000528519094217212,0.00199594484805802,"Q9Y285","Phenylalanine--tRNA ligase alpha subunit","FARSA","Neurology_II",0.0881371210914093,0.194799101172939
"248","CLEC12A",0.107774051025095,0.0225181421288959,0.0567418357265195,"P35556","Fibrillin-2","FBN2","Neurology_II",0,0
"249","CLEC1B",0.897166456383811,2.02405243877594e-18,6.16281799848134e-17,"P12319","High affinity immunoglobulin epsilon receptor subunit alpha","FCER1A","Neurology_II",0,0
"250","CLEC4A",-0.225848032771361,0.0033686464831579,0.010964981815446,"P06734","Low affinity immunoglobulin epsilon Fc receptor","FCER2","Neurology",0,0
"251","CLEC6A",0.182128906279926,0.0372312180101837,0.0874111246937887,"Q96RD9","Fc receptor-like protein 5","FCRL5","Neurology",0.0782113798143371,0.23133038707096
"252","CLIP2",1.93539219876093,3.10271863003751e-19,1.29560665079995e-17,"Q5JSP0","FYVE, RhoGEF and PH domain-containing protein 3","FGD3","Neurology_II",0.0164474732304369,0.286417787912182
"253","CLNS1A",0.252981517930187,0.000480772069539055,0.00182743401724663,"Q8TAT2","Fibroblast growth factor-binding protein 3","FGFBP3","Neurology_II",0,0
"254","CLPP",0.836079023518951,1.78088367042729e-11,1.58704968556676e-10,"P09769","Tyrosine-protein kinase Fgr","FGR","Neurology",0,0
"255","CLSTN2",0.148410259137005,0.0415736215908111,0.0959871215718333,"P07954","Fumarate hydratase, mitochondrial","FH","Neurology_II",0,0
"256","CLSTN3",0.135808598444261,0.0284140612046823,0.0693853808699134,"P49789","Bis(5'-adenosyl)-triphosphatase","FHIT","Neurology",4.18428599510556e-14,1.15524311538006
"257","CLTA",0.225588819111732,0.0209565316709374,0.0533135056357307,"Q9NWM8","Peptidyl-prolyl cis-trans isomerase FKBP14","FKBP14","Neurology_II",2.13268684129444e-17,1.23468798098722
"258","CMC1",0.748192055063061,1.55019982095595e-15,2.57456481628083e-14,"Q02790","Peptidyl-prolyl cis-trans isomerase FKBP4","FKBP4","Neurology",4.07362106852394e-18,0.776783070076569
"259","CMIP",0.185725232263746,0.00218055231403326,0.00737703057166576,"Q13451","Peptidyl-prolyl cis-trans isomerase FKBP5","FKBP5","Neurology",4.67511403610305e-20,1.55446124477975
"260","CNP",0.869329852736831,1.83265078354118e-11,1.62821831011881e-10,"Q9Y680","Peptidyl-prolyl cis-trans isomerase FKBP7","FKBP7","Neurology",0.046604604836299,0.183443564080261
"261","CNPY4",0.736300188300943,9.36680549639265e-14,1.14557206970526e-12,"O43155","Leucine-rich repeat transmembrane protein FLRT2","FLRT2","Neurology",0,0
"262","CNST",0.340232243622002,5.99737126042893e-10,4.674750985129e-09,"O95466","Formin-like protein 1","FMNL1","Neurology",0,0
"263","COCH",0.351604424511746,6.32183031187985e-07,3.5673185331322e-06,"Q4ZHG4","Fibronectin type III domain-containing protein 1","FNDC1","Neurology_II",0,0
"264","COL2A1",0.399508542345785,2.44293223808683e-06,1.2889333812144e-05,"P14207","Folate receptor beta","FOLR2","Neurology",0,0
"265","COL5A1",0.227472446852757,0.00971217776263326,0.0273757913212893,"P53539","Protein fosB","FOSB","Neurology",0,0
"266","COL6A3",0.193212905269014,0.0040176838882623,0.0128909879312741,"Q6ZUT3","FERM domain-containing protein 7","FRMD7","Neurology_II",0,0
"267","COMMD1",0.542477500449152,3.25825047661447e-09,2.34577983821283e-08,"Q92765","Secreted frizzled-related protein 3","FRZB","Neurology",0,0
"268","COMT",0.887226781932276,1.04111965225784e-12,1.06778692756128e-11,"O95954","Formimidoyltransferase-cyclodeaminase","FTCD","Neurology_II",0.00297090644045348,0.584200109149735
"269","COPB2",0.269626779191139,0.00709474750426201,0.0207587056606185,"P21217_Q11128","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5","FUT3_FUT5","Neurology",0,0
"270","CORO1A",1.22343739429325,4.62098296955256e-13,5.00264193333412e-12,"Q9BYC5","Alpha-(1,6)-fucosyltransferase","FUT8","Neurology",0.00872264117500916,0.228281234579449
"271","COX5B",1.01495859138677,2.09111769413682e-15,3.34007487429614e-14,"O15117","FYN-binding protein 1","FYB1","Neurology",6.12369363052864e-21,1.8941650294297
"272","COX6B1",0.238724844119729,0.00022730730467949,0.000907676573194193,"Q9ULW2","Frizzled-10","FZD10","Neurology_II",0,0
"273","CPB1",0.232540396516554,0.021370290336912,0.0541294269105666,"Q9H461","Frizzled-8","FZD8","Neurology_II",0,0
"274","CPB2",0.0877459275507178,0.0294318574900542,0.0712163240425733,"P48169","Gamma-aminobutyric acid receptor subunit alpha-4","GABRA4","Neurology_II",0,0
"275","CPM",0.268272112847555,0.00182151902418248,0.00627126043308057,"P22102","Trifunctional purine biosynthetic protein adenosine-3","GART","Neurology_II",0,0
"276","CPPED1",0.48565693819474,9.78725933109163e-06,4.81618838801024e-05,"P01350","Gastrin","GAST","Neurology_II",0,0
"277","CPTP",0.177391574117923,0.0112746736031486,0.0312082111193215,"P04062","Lysosomal acid glucosylceramidase","GBA","Neurology_II",0,0
"278","CPXM1",0.566254242016294,1.6505267635364e-12,1.65222251021127e-11,"P32455","Guanylate-binding protein 1","GBP1","Neurology_II",0.000177344450188851,0.616595225226958
"279","CPXM2",0.144290719383725,0.0112139553584535,0.0310990431809862,"Q96PP9","Guanylate-binding protein 4","GBP4","Neurology",0,0
"280","CRACR2A",0.264968794189547,0.00617582170996263,0.0184768954536548,"Q96CN9","GRIP and coiled-coil domain-containing protein 1","GCC1","Neurology_II",6.12369363052864e-21,1.65599479429913
"281","CRADD",1.13681109288462,3.77739482736959e-17,8.83306006432105e-16,"P39905","Glial cell line-derived neurotrophic factor","GDNF","Neurology",0,0
"282","CREG1",0.264316469141825,0.00474647852050056,0.0146906236750578,"O60609","GDNF family receptor alpha-3","GFRA3","Neurology",0,0
"283","CRELD2",0.360169325835814,9.4845804209288e-06,4.69888619836862e-05,"Q6UXV0","GDNF family receptor alpha-like","GFRAL","Neurology_II",0,0
"284","CRHBP",0.143872752126056,0.00627201142377401,0.0187263425859974,"Q9UJY5","ADP-ribosylation factor-binding protein GGA1","GGA1","Neurology",0,0
"285","CRISP3",-0.129354052817841,0.00485515833618567,0.0149700715365725,"P19440","Glutathione hydrolase 1 proenzyme","GGT1","Neurology",0.00447415720604469,0.388322159982576
"286","CRKL",1.39499918178636,9.89869614727904e-24,6.12369363052864e-21,"P36269","Glutathione hydrolase 5 proenzyme","GGT5","Neurology",0,0
"287","CRYBB1",0.800358358168715,1.01298662978096e-17,2.57474775552152e-16,"Q02643","Growth hormone-releasing hormone receptor","GHRHR","Neurology",0,0
"288","CRYGD",1.05133925795756,1.09939477582206e-10,9.39628926821021e-10,"Q9NWU2","Glucose-induced degradation protein 8 homolog","GID8","Neurology_II",0,0
"289","CRYM",0.221612068917341,0.0209569681749759,0.0533135056357307,"Q6Y7W6","GRB10-interacting GYF protein 2","GIGYF2","Neurology_II",0.000553056656317167,0.483141075030931
"290","CRYZL1",1.04415175902573,3.31398425039325e-15,5.15254040632951e-14,"Q8TF65","PDZ domain-containing protein GIPC2","GIPC2","Neurology_II",0.000901339647450962,0.233506592089715
"291","CSNK1D",0.612417504064217,3.20653303631792e-06,1.65888425931987e-05,"Q9NS71","Gastrokine-1","GKN1","Neurology",0,0
"292","CSNK2A1",0.526277441229361,1.32691727993357e-08,9.1260687276372e-08,"P16278","Beta-galactosidase","GLB1","Neurology",6.87584375471969e-06,0.428469466517718
"293","CST3",0.142446336830364,0.00438985383600825,0.0137849994251314,"P43220","Glucagon-like peptide 1 receptor","GLP1R","Neurology_II",0,0
"294","CSTB",0.334488705929949,6.49480249138097e-06,3.25631349610747e-05,"Q9H1C3","Glycosyltransferase 8 domain-containing protein 2","GLT8D2","Neurology",0,0
"295","CTF1",0.850344748733887,4.15570417830166e-05,0.000186878820202704,"O95467","Neuroendocrine secretory protein 55","GNAS","Neurology_II",0,0
"296","CTSC",0.185158123167633,0.0151282023836262,0.0405313799883953,"P63211","Guanine nucleotide-binding protein G(T) subunit gamma-T1","GNGT1","Neurology_II",0,0
"297","CTSD",0.38587368557847,1.47860398189707e-06,7.98883445302242e-06,"P22749","Granulysin","GNLY","Neurology",0,0
"298","CTSL",0.190477398472862,0.00202663002383167,0.00692037331735976,"Q08378","Golgin subfamily A member 3","GOLGA3","Neurology_II",0.0569011005173278,0.28227788002298
"299","CTSS",0.159032881311532,8.70565054058852e-05,0.000374217842196811,"Q6P4E1","Protein GOLM2","GOLM2","Neurology",0,0
"300","CWC15",0.274959299410952,0.0315229513885893,0.0756499071501203,"Q9HCN6","Platelet glycoprotein VI","GP6","Neurology",9.61938226499978e-12,0.701427544401316
"301","CXADR",0.276130856086514,0.00555654363615994,0.0167786952980326,"P78333","Glypican-5","GPC5","Neurology",0,0
"302","CXCL1",0.846636197334312,2.63306979612089e-11,2.31125015437278e-10,"Q92917","G-patch domain and KOW motifs-containing protein","GPKOW","Neurology",0.0555005855721393,0.160592534229464
"303","CXCL10",0.449275211616217,7.5278512705053e-05,0.000327927112722608,"Q96P66","Probable G-protein coupled receptor 101","GPR101","Neurology_II",0,0
"304","CXCL11",0.808352038679652,1.74640538511307e-08,1.18439511384815e-07,"Q5T848","Probable G-protein coupled receptor 158","GPR158","Neurology_II",0,0
"305","CXCL3",2.33807558456632,1.23947475072007e-18,4.07076932174694e-17,"Q13002","Glutamate receptor ionotropic, kainate 2","GRIK2","Neurology_II",0,0
"306","CXCL5",1.76801888313838,3.45007981342207e-12,3.33926599160024e-11,"Q13224","Glutamate receptor ionotropic, NMDA 2B","GRIN2B","Neurology_II",0,0
"307","CXCL6",0.633633379885221,2.33189835221439e-08,1.57053891325407e-07,"P28799","Progranulin","GRN","Neurology",0,0
"308","CXCL8",1.41796822639167,0.0010768280667824,0.00387154789570107,"P09211","Glutathione S-transferase P","GSTP1","Neurology",0.0129246413460453,0.375033208775461
"309","CYB5A",0.299546527604988,0.0122234182156901,0.0334855215037135,"P0CG30","Glutathione S-transferase theta-2B","GSTT2B","Neurology_II",0,0
"310","CYB5R2",0.512432863281302,1.7171221720133e-07,1.03701407206506e-06,"Q9BX10","GTP-binding protein 2","GTPBP2","Neurology_II",0.00011803076051766,0.367099174688073
"311","DAAM1",0.943832326562186,1.09873198482482e-14,1.5514944887164e-13,"Q02747","Guanylin","GUCA2A","Neurology",0,0
"312","DAB2",1.66467504383916,1.01121810348273e-18,3.47124581265435e-17,"P12081","Histidine--tRNA ligase, cytoplasmic","HARS1","Neurology",1.37314648955104e-16,0.879990907148355
"313","DAG1",0.468381330123037,1.37653356343209e-15,2.29920434623543e-14,"Q8TDQ0","Hepatitis A virus cellular receptor 2","HAVCR2","Neurology",0.0952245785230681,0.132761328829121
"314","DAPP1",2.56743082327533,2.00920446544538e-19,9.17641351952633e-18,"Q9UKV0","Histone deacetylase 9","HDAC9","Neurology_II",0,0
"315","DARS1",0.824445233858834,1.99868775099471e-13,2.30915584828362e-12,"Q7Z4V5","Hepatoma-derived growth factor-related protein 2","HDGFL2","Neurology_II",2.3484720419718e-07,0.583771254332896
"316","DBI",0.956267148486471,6.28634535985383e-19,2.29687343585659e-17,"A8MVW5","HEPACAM family member 2","HEPACAM2","Neurology_II",0,0
"317","DBN1",0.309949653628217,1.7133008319475e-06,9.20584252165908e-06,"Q03014","Hematopoietically-expressed homeobox protein HHEX","HHEX","Neurology_II",8.83306006432105e-16,0.947079691262686
"318","DBNL",1.52076549093927,2.91973651615071e-20,1.8553021384149e-18,"O75146","Huntingtin-interacting protein 1-related protein","HIP1R","Neurology_II",0.00330090250617915,0.361275401691238
"319","DCTD",1.22356164151402,3.75835513806819e-17,8.83306006432105e-16,"Q6ZVN8","Hemojuvelin","HJV","Neurology_II",0.00941710163720948,0.257861843036464
"320","DCTN1",0.640035805181871,6.10193996611936e-10,4.74360918110822e-09,"P04439","HLA class I histocompatibility antigen, A alpha chain","HLA-A","Neurology_II",0,0
"321","DCTN2",1.25660914816075,3.1451122209529e-16,5.93107291731956e-15,"P30519","Heme oxygenase 2","HMOX2","Neurology",0.00621610409488731,0.287779159009796
"322","DCTN6",0.508210212746598,0.000431224087532027,0.00164767059850472,"P20823","Hepatocyte nuclear factor 1-alpha","HNF1A","Neurology_II",0,0
"323","DCXR",0.537338829712031,6.27903978429107e-06,3.15354523874275e-05,"P50135","Histamine N-methyltransferase","HNMT","Neurology",0.010132088455439,0.361741820764957
"324","DDA1",0.176976464469679,0.0339870180972099,0.0807019121837079,"Q9BUJ2","Heterogeneous nuclear ribonucleoprotein U-like protein 1","HNRNPUL1","Neurology_II",3.91058749585996e-07,0.544199382164906
"325","DDAH1",0.491253563109162,2.93453219744109e-07,1.72936242200006e-06,"Q9BPX1","17-beta-hydroxysteroid dehydrogenase 14","HSD17B14","Neurology_II",0,0
"326","DDHD2",0.276416190146623,0.000736775666966811,0.00272262360877875,"P14625","Endoplasmin","HSP90B1","Neurology",0.0953209952515116,0.365479723730423
"327","DDI2",0.505543048339285,0.000911128326811699,0.00330090250617915,"P08908","5-hydroxytryptamine receptor 1A","HTR1A","Neurology_II",0,0
"328","DDT",0.478841470171791,2.44203697666703e-07,1.44495426777282e-06,"P28222","5-hydroxytryptamine receptor 1B","HTR1B","Neurology_II",0,0
"329","DDX58",0.378649177299357,4.46213439374587e-05,0.000199431480625675,"Q9BXS1","Isopentenyl-diphosphate delta-isomerase 2","IDI2","Neurology",0,0
"330","DECR1",0.784365510498284,6.8200243821357e-11,5.89790865946232e-10,"P14902","Indoleamine 2,3-dioxygenase 1","IDO1","Neurology_II",0,0
"331","DENR",0.738003766709475,2.48626969386556e-10,2.03567683898292e-09,"P38484","Interferon gamma receptor 2","IFNGR2","Neurology",0,0
"332","DFFA",0.70016912321137,4.04909696925007e-13,4.44944001545788e-12,"Q8IU54","Interferon lambda-1","IFNL1","Neurology",0.0139426824185054,0.503957530392989
"333","DGKA",0.282545554938165,3.27260500377007e-06,1.69007498692931e-05,"Q8IZJ0","Interferon lambda-2","IFNL2","Neurology_II",0,0
"334","DHRS4L2",0.558347781366443,4.10247776678883e-10,3.26745027583753e-09,"Q8IY31","Intraflagellar transport protein 20 homolog","IFT20","Neurology_II",0.00195137629765828,0.218852781501107
"335","DIABLO",1.87566583686059,3.96495802384043e-19,1.60966281995633e-17,"P78318","Immunoglobulin-binding protein 1","IGBP1","Neurology_II",3.84930217302412e-13,1.04103071809
"336","DKK1",0.55801685368874,1.0308089844623e-08,7.12306066568159e-08,"Q8IVU1","Immunoglobulin superfamily DCC subclass member 3","IGDCC3","Neurology_II",0,0
"337","DLG4",0.391549101791596,4.38232736273501e-05,0.00019616451579287,"P11717","Cation-independent mannose-6-phosphate receptor","IGF2R","Neurology",0.0996600953510773,0.0967335679528312
"338","DLK1",0.366899381988006,0.00072129146628129,0.00267216090740204,"P22692","Insulin-like growth factor-binding protein 4","IGFBP4","Neurology",0,0
"339","DNAJA2",1.53825828530624,2.23239084592141e-25,3.26263922131414e-22,"Q14627","Interleukin-13 receptor subunit alpha-2","IL13RA2","Neurology_II",0,0
"340","DNAJA4",0.500829991097392,0.000117741279566508,0.000492357310690846,"Q96F46","Interleukin-17 receptor A","IL17RA","Neurology",0,0
"341","DNAJB1",1.0557016872201,2.55490517273155e-10,2.08603011728892e-09,"O95256","Interleukin-18 receptor accessory protein","IL18RAP","Neurology",0,0
"342","DNAJB14",0.705395927901326,1.3959308881047e-11,1.26717577202796e-10,"P14778","Interleukin-1 receptor type 1","IL1R1","Neurology",0,0
"343","DNAJB2",0.669638563485088,3.47808471309391e-09,2.49789720304017e-08,"Q9NPH3","Interleukin-1 receptor accessory protein","IL1RAP","Neurology",0,0
"344","DNAJB6",1.27817746814009,1.95080118158974e-21,2.59190538808492e-19,"Q6ZMJ4","Interleukin-34","IL34","Neurology",0,0
"345","DNAJC21",0.176739056526504,0.000298561419604664,0.00116983247922846,"P05231","Interleukin-6","IL6","Neurology",0,0
"346","DNAJC6",1.16066835438629,4.36142730664144e-15,6.60541555301188e-14,"P16871","Interleukin-7 receptor subunit alpha","IL7R","Neurology",0,0
